STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATION ID
USC00244530,"JORDAN 23 ENE, MT US",47.48194,-106.46806,726.9,1
USC00247128,"ROBERTS 1 W, MT US",45.3573,-109.1884,1417.3,2
USC00247800,"SPRINGDALE, MT US",45.73833,-110.2243,1290.8,3
USC00243445,"GERALDINE, MT US",47.6014,-110.267,958.6,4
USS0010D12S,"MONUMENT PEAK, MT US",45.22,-110.24,2697.5,5
USC00246157,"NORRIS MADISON POWER HOUSE, MT US",45.4875,-111.6336,1446.3,6
USC00242112,"CROW AGENCY, MT US",45.6,-107.45,923.5,7
USC00244894,"LAUREL 3 WSW, MT US",45.66667,-108.81667,1011.6,8
USC00241149,"BROADVIEW, MT US",46.1,-108.88333,1182.9,9
USC00244538,"JUDITH GAP, MT US",46.67778,-109.75056,1411.2,10
USR0000MFOH,"FORT HOWES MONTANA, MT US",45.2969,-106.1614,1030.2,11
USC00241824,"CLEVELAND 5 ENE, MT US",48.31667,-109.06667,1015.9,12
USS0013C36S,"PETERSON MEADOWS, MT US",46.13,-113.31,2194.6,13
USS0011E38S,"BEAVER CREEK, MT US",44.95,-111.36,2392.7,14
USS0013A19S,"FLATTOP MOUNTAIN, MT US",48.8,-113.86,1920.2,15
USC00240739,"BIDDLE, MT US",45.10074,-105.31856,1009.5,16
USR0000MKIN,"KING COULEE MONTANA, MT US",47.7981,-107.0233,841.2,17
USS0012E07S,"DIVIDE, MT US",44.79,-112.06,2377.4,18
USS0010D13S,"LICK CREEK, MT US",45.5,-110.97,2090.9,19
USC00247250,"RUDYARD 27 N, MT US",48.9375,-110.56611,917.4,20
USC00245754,"MIZPAH 4 NNW, MT US",46.2858,-105.2919,755.9,21
USC00246601,"PLEVNA, MT US",46.4177,-104.5163,847.3,22
USC00243570,"GLEN, MT US",45.5262,-112.7005,1540.5,23
USC00244545,"JUDITH GAP 13 E, MT US",46.6102,-109.4737,1460.3,24
USC00246287,"OTTER 9 SSW, MT US",45.1,-106.25,1237.5,25
USC00245870,"MOORHEAD 9 NE, MT US",45.1758,-105.7516,981.5,26
USC00242122,"CULBERTSON, MT US",48.15018,-104.50889,591.3,27
USC00247136,"ROCK SPRINGS, MT US",46.8202,-106.2452,921.7,28
USS0009C01S,"CRYSTAL LAKE, MT US",46.79,-109.51,1844,29
USC00245872,"MOSBY 4 ENE, MT US",47.02195,-107.82244,887,30
USC00240743,"BIDDLE 8 SW, MT US",45.0429,-105.4799,1106.7,31
USS0013D10S,"BLOODY DICK, MT US",45.17,-113.5,2316.5,32
USC00248902,"WHITEFISH, MT US",48.408,-114.3594,944.9,33
USS0013C13S,"BLACK PINE, MT US",46.41,-113.43,2197.6,34
USR0000MCHA,"CHAIN BUTTES MONTANA, MT US",47.5167,-108.0333,892.5,35
USR0000MPRT,"SOUTH FORK MONTANA, MT US",47.4111,-107.6686,876.3,36
USC00247263,"RYEGATE 18 NNW, MT US",46.5333,-109.3441,1353.3,37
USC00248233,"TIBER DAM, MT US",48.3104,-111.0877,868.7,38
USC00245080,"LIVINGSTON 12 S, MT US",45.4955,-110.559,1537.4,39
USC00247265,"SACO 1 NNW, MT US",48.4661,-107.3528,666,40
USS0010C03S,"PORCUPINE, MT US",46.11,-110.47,1981.2,41
