#PAGE_URL,resort-name,review-title,date,review
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,Big Sky Resort,Apparently non refundable rooms,Aug 2021 • Business,My husbands company booked their yearly sales meeting here. We decided to come a day early so we booked a room at the resort. His company cancelled the conference due to rising COVID numbers 5 days prior to the start. We called to cancel the room we booked for one night and were advised that we won’t be refunded as rooms are non refundable within 14 days of the reservation. So frustrating and disappointing!
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Great Summer Getaway,Aug 2021 • Family,We had a great experience at Big Sky. Incredible location and great friendly staff. Careen at the Base Camp is the MVP. She was able to book us some activities even though we failed to schedule them in advance of our arrival.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,you pay for the views,Aug 2021,"Stayed at the HUNTLEY LODGE and it was gorgeous. we will be back after the renovations again but for now it's a little bit worn out, light bulbs in our room was dead, door to bathroom was stuck, shower is way to short (I'm 5.11 and didn't fit!) etc. But they made up for it with a gorgeous view and a fabulous free breakfast! thank you. You should spend more time here and take the free lift up, we didn't know about it and had run out of time already as the lift service only starts at 10 am so it would have taken too much of our time! wish we knew of this ahead of time."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,"Surprised stores were closed, fewer activities for kids",Aug 2021,"So having been to Snow King and Teton Village/ Jackson Hole, as well as Heavenly Resort in CA/NV - we were expecting a similar experience at Big Sky Resort. We were so hopeful driving in - the area is huge with many homes, golf courses, and little shopping areas along the way. At the end of the road is the Resort itself and maybe half of the stores and restaurants were closed. They have a climbing wall and an acrobatic/elastic sling contraption, as well as a portable putt-putt golf (this was in rough shape) which would work well for little ones. There were a TON of mountain bikers - this seems to be the activity at the Resort. We spent about 2 hours there- 1.5hr for lunch (expect long wait times since there are fewer restaurants open) and 30 minutes walking around making sure we weren't missing anything."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Bring necessities with you,Jul 2021,"What a beautiful resort. However, I have stayed at Super 8s that treated their guests better. We spent 5 days at Big Sky Resort recently for a medical conference. However, the resort was not ready for guests. We went 24 hours without toilet paper after our first request for some. The water was undrinkable in all the guest rooms (an employee advised) not just our room. The tv, telephone and room safe didn't work. With the telephone being nonfunctional, we had to go to the front desk to make our requests and wait with multiple others to make requests for toilet paper, trash bags, clean towels, etc. One hot tub was not working and the other hot tub only had 2 working jets. The housekeeping staff was MIA even for small requests - we didn't expect daily room cleaning. The staff were friendly but not very interested in fixing any of the problems. All of this for a high price of $300 per night. There are many other places to stay in the area, so I would recommend a place that provides toilet paper and drinkable water. The Big Sky area was beautiful and we will likely visit that area again, but will find alternate accommodations."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Amazing!!,Jul 2021 • Solo,This place is a little slice of heaven. I loved the Vista Hall restaurant….cheese burger was awesome! Great place will come again.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Family vacation,Jul 2021,Great place to stay. We were in a chalet about 1/2 mile fron the base camp and it was perfect. Would recommend it.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Big Sky Action,Jul 2021 • Couples,"We used our timeshare to book a week in Big Sky. Very windy roads took us to the resort area. The area was beautiful. We took the ski lift to the top of the mountain. You were also able to use the lift to bring mountain bikes to the top and bike down the hill. Lift tickets were around $35 for the day. We were there in July, it is a major ski spot in winter. We went to a Chuckwagon dinner and show. Big Sky had a rodeo on our last night. That was a lot of fun. This resort is only an hour from Yellowstone, so it is very convenient!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,ZIPLINE ADVENTURE,Jun 2021,Mike and Cole were SO fun to zipline with on the Adventure Zipline! It was shorter than we expected (4 ziplines) but being with them was so fun!
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,Five star scenery and so much to see and do!,Jun 2021 • Family,"We really enjoyed our recent stay at Big Sky Resort. The scenery is spectacular. One highlight of the trip was spotting so much wildlife on our daily hikes. We stayed at the Huntley Lodge and chose this place for its central location. It's easy to just step out and find yourself in the center of everything.\n\nSince it was our first time at the Huntley and our first time in Big Sky, we wanted to check out everything they had to offer. The staff at the lodge were so friendly and helpful. Eric at the front desk was a wealth of information. Shortly after checking in, he called to ask how our room was. He was a wealth of fun suggestions of things to do at the lodge and beyond. The level of guest service Eric and the all the staff was outstanding and truly exceeded our expectations.\n\nThe trip seemed to fly by way too quickly. We took a ride to the top of Lone Peak. I highly recommend this place for getting photos that showcase Montana's beauty. We spent two days exploring Yellowstone and the last day we were so exhausted from exploring that we just stuck around the lodge, went swimming and relaxed before it was time to go home. We can't wait to return to Big Sky and can't wait to see what it's like during the winter season."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,, , , 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or10-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,Big Sky Resort,"nice hotel, nice area, overpriced",Jun 2021 • Family,good hotel with great surrounding area. we stayed at the summit hotel at the resort. only gripe is that it was very overpriced for an otherwise mediocre hotel. breakfast is included and quite yummy. lots of surrounding restaurants and activities. if you want to do things in big sky it is a 10-15 minute drive down to the city. just something to note. good stay.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,"You’re on vacation, so go get a massage!!",Jun 2021 • Friends,"My parents and I were trying to plan something to do yesterday since we have just about done everything around the resort so we had a Spa Day! We all went to the spa/salon to get massages, I had Chancey for a deep tissue massage and she was FANTASTIC!! One of the best massages I’ve had in my life, I highly highly recommend if you’re feeling sore and tired from all the other fun activities this resort has!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Outstanding Hotel Management Service,Apr 2021 • Family,"I have been coming to Big Sky since 1991. Absolutely my favorite Ski Destination. For the first time ever my Huntley Loft room was really unacceptable. To be fair the entire Huntley is being redone as I type and will be brand new next ski season. I went down to the desk and Cassie Carson Assistant Hotel Manager for Huntley Lodge was on duty. I began to explain my dissatisfaction and she had me sit with her and she listened. I was not angry and treated her as the Professional she is. She then offered me several solutions. In the end she moved us to a deluxe Shine with a view that was not a mistake. I was totally satisfied, but she then added a house credit for charges and extended additional considerations. Cassie in a word was a top notch professional who more than made up for the room condition. Big Sky Hotel Management has always been top notch but Cassie set a new Standard. Thanks Cassie for a great experience, also a shout out to Erica, and Sara Ann - really great at the front desk."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Better that Average,Apr 2021,"I skied in early April ... many of the on-mountain staff had ""taken the rest of the season"" off mentally ... they just weren't very active with lift/grooming/terrain-opening duties. Especially the trail status/grooming. Many groomed runs was not all the way groomed; not cool, this can get skiers/boarders injured! Several trails said open on the website but were roped-off when you went to ski them."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Great ski resort for all levels,Apr 2021 • Family,"This mountain has great, long trails for all skier levels. The runs over at the Six-shooter lift are about 2.5 miles long. Love it!\n\nThe Ramcharger lift and chairs are super cool with the padded heated seats!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Excellent place to ski,Apr 2021 • Family,Love being here at big sky! The trails are so wide and there are so many trails with a huge variety of difficulty levels. It’s April so the crowds aren’t big so really no lines. It’s snowing too! Only complaint would be the lack of signs when you’re trying to get somewhere specific.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,World class resort for avid skiers/riders.,Mar 2021,"Impressive ski resort, staggeringly beautiful mountain with tremendous terrain and challenge. I've been to many resorts in the Rockies, West Coast, Austria, and East Coast, and Big Sky is among the top 3. This was a family ski trip and we are strong, avid skiers/snowboarders, so we loved the bowls and the runs on the south side of Lone Peak (off the tram). However, for the casual skiing family, this is a big steep mountain, with limited grooming and a serious skier vibe. Although there are plenty of awesome greens and blues, this is a steep,advanced/expert -oriented mountain similar to Alta and Snowbird. (Take a good hard look at the trail map). We skied Deer Valley in January and were a little bored (although the service and grooming were appreciated and superb). Big Sky is a very different resort; the distinguishing features are the bowls, and the snowfields and chutes on Lone Peak. \nAt Big Sky, we skied 5 days the last week of March '21 and we enjoyed Spring conditions, followed by extreme Winter conditions and wind (resulting in boilerplate as bad as any on the East Coast), and then a return to beautiful Spring conditions. The grooming on the trails struggled to keep up, so we stayed in the bowls and the steeper North-facing aspects of the mountain which held adequate powder (see picture).\n \nWe are guilty of being Ikon pass-holders, and as I understand it, the Ikon pass has drawn many more skiers to Big Sky. Consequently, we did experience long lines at the mountain village lifts and on Powder Seeker. Also, the tram line can get quite long. However, there are lifts that service mostly tougher terrain that were always short (and shall remain nameless in this review). \nThe only serious complaint I have is a lack of signage --both trail signs and road signs. This lead to constant frustration, and two dangerous situations (one on Lone Peak and one on the road). Big Sky management: please spend some of that Ikon pass-holder money on a few more trail and road signs!\n\nOverall an absolutely top tier, world class ski resort particularly for skiers/riders that can enjoy the majority of the terrain. We can't wait to return!"
