Review Site,Ski Area,Review Date,Review Star Rating (out of 5),Review Text
Tripadvisor,Bridger,Jan 2013,5,"Overall it was a very good resort by our limited standards. The lifts were all running, the equipment and facilities were on par with most of the bigger ski resorts also. We only had an afternoon to get a few runs in and being so close we were able to not waste time driving to and from the bigger resort at Big Sky."
Tripadvisor,Bridger,Mar 2012,5,What can I say GREAT place for anyone who loves the outdoors. Skiing is awesome! Their instructors are all awesome. Just a short drive from Bozeman.
Tripadvisor,Bridger,Jan 2013,5,"Basic Info: Adult lift tickets for a full day are $49, although it's only $40 if you buy your lift ticket after 12:30 pm. Lift tickets for children and seniors are cheaper. The slopes close at 4 pm, at least on Fridays. The main lodge has a cafe, and there is a small gift shop located inside the rental office. Both lodges have locker rentals for 50 cents, and full-sized seasonal lockers are available for season rental. The parking lot is much larger than I expected, but after my visit (on a Friday afternoon) I realized that the place is probably packed on the weekends, with parking spots hard to come by. \n\nIf you are any skiing experience, you might as well skip the rest of my review because I am far from an expert skier- more like a good skier that is now many years out of practice. But Bridger Bowl has lots of slopes to choose from. There is a bunny slope which is fairly flat, but also very narrow considering it's full of kids learning to ski and people trying to figure out how to turn left and right. But it's a good place to get started. Sunnyside Trail is probably the next easiest trail. After that, they seem to get slightly more difficult, and I'm not going to presume to be able to rate the difficulty or comparability since I consider myself to be a novice (again)."
Tripadvisor,Bridger,Feb 2012,4,"We love skiing Bridger Bowl! We usually only go skiing once a year (no hills near Fargo, ND!), and used to vary trips between Bridger Bowl and Big Sky/Moonlight. Bridger is obviously a smaller ski resort than Big Sky, but for the price and the customer service, it's hard to beat, especially if you use the Powerhound Package deal. There are a good variety of runs for Beginner and Intermediate skiers, and it looks like there are good runs for experts too, but we don't go on the expert-only lift up to the ridge (as I mentioned, we ski once/year!). There are a few black runs you can access from the mid-mountain lifts, so you can have a little adventure without committing to something crazy. The skiing at Bridger is always good, but what really stands out is their customer service. I'm not sure what kind of customer service training they do there, but it works! Everyone from the reservations people (so helpful!!), to the rental shop guys (again, really helpful), to the lifties (always in a good mood), to the servers in Jimmy B's restaurant (great service - especially from Larry!) are happy and helpful and glad you are there. Even the guys in the first aid cabin are great. Even if you don't need them, they have cool t-shirts for sale to support the rescue dogs! We also enjoy the other skiers at Bridger - they attract a much more friendly, down-to-earth crowd than Big Sky. If you fall down and have a ""yard sale"", there are always a bunch of people stopping to help and making sure you're ok. Embarrassing, but nice! Another nice advantage to skiing Bridger is staying in Bozeman. Lots of good restaurants, cool college town vibe, awesome co-op, etc. There are also a variety of nice places to stay at varying price points. We prefer the C'Mon Inn for the nice rooms, breakfasts, and multiple hot tubs. Hope you enjoy your time at Bridger. Tell Larry at Jimmy B's we said ""hi""!!"
Tripadvisor,Bridger,Jan 2013,2,"Dress warm for this gem in the rough. Don't get me wrong I love the mountain it just needs a few fixes. Please add a buss from the parking lots well below the base lodge. add a high speed lift from the bottom so that when the wind blows (and it always blows) you get out of it faster. And lastly fix your anamometer, If I had known it was actually 20MPH I would not have driven up, I would have gone to nearby Yellowstone's North end."
Tripadvisor,Bridger,Mar 2012,4,"I would rather board up at Big Sky, Moonlight, or Discovery any day over Bridger. Once I learned the mountain I began to like it, a few years ago when I lived in Bozeman I was really not a fan of it, but it is decent."
Tripadvisor,Bridger,Jan 2013,3,"Bridger is a decent mountain that is only 15 miles from downtown Bozeman. There is a good sized bunny hill for the beginners and lots of intermediate terrain. For the more extreme skiiers, bring your transceiver and shovel to hike the ridge."
Tripadvisor,Bridger,Dec 2012,4,Terrain for all level of skiers. Friendly staff and lots of fun! Highly recommend for families or anyone who likes to ski.
Tripadvisor,Bridger,Jan 2013,5,"This place is is about 60% of the cost of nearby Big Sky. It's obviously a much smaller place, but it's fun and a great opportunity to try a different hill."
Tripadvisor,Bridger,Dec 2012,4,"Writing a review for Bridger Bowl is difficult for me. After all, I'm a local and I go there. So really, I don't want to see it get any more crowded. But you just can't keep secrets these days.\n\nTo me, Bridger is like a throwback to the ""good old days,"" in that the place just seems down home and old-fashioned, which appeals to lots of folks. Of course, some of the ""good old days"" includes riding on ""old-timey"" lifts that take a long time to get up on the mountain. The Powder Park, Virginia City and Pierre's Knob lifts are all very slow.\n\nHere are my main recommendations for having a great time at Bridger: 1) If possible, don't go on the weekend. If you do then be sure to get there early since the parking lots fill up and you can expect to spend 15-25 minutes just unloading your gear, driving way down to find a parking place, then walking all the way back up to the lodge. You will also find annoying lift lines at the base at the Powder Park lift. 2) Don't go on a rather cold day. This is because the lifts are so slow and you will freeze sitting on them while you crawl up the mountain. Also, when it is busy, the lifts frequently stop and it seems to take a while to start back up. Not fun when it is 10 degrees and the wind is blowing (as it was yesterday while I was there). 3) Don't expect any deals if you have kids in the junior age range. I took my grand daughter who is 13 and had to pay full price. 4) Don't expect any deals if you are a ""senior."" Bridger doesn't give you a break until you are 70 years old. Most resorts I'm familiar with start the discount at around 65.\n\nIf you go to Bridger after some fresh powder it is fantastic. If you go on a weekday when it is not too terribly cold, you will have a great time. The base lodge and mid-mountain lodge are nice to duck into to warm up and get a good meal. Recommendation: it is MUCH easier to find a chair and table at the mid-mountain lodge than at the base on a weekend.\n\nHave fun!"
