Review Site,Ski Area,Review Date,Review Star Rating (out of 5),Review Text
Tripadvisor,Discovery Ski Area,Feb 2021,4,"I almost don't want to write this review, because I feel like I'm giving away a secret. This mountain has a lot of pitch and wonderful steep terrain (with trees) on the back side. It was an easy experience to ski here, the food services were great, and we appreciated that people were wearing masks. Heads up: make sure to reserve lift tickets on weekends and a place in the dining area--everything is limited this year because of covid."
Tripadvisor,Discovery Ski Area,Jul 2019,4,"Skiing, hiking and mountain biking. You pretty much have the mountain to your self mid week. Remote and beautiful."
Tripadvisor,Discovery Ski Area,Mar 2019,3,"Truthfully I was not skiing on this last visit because of an injury but my friends and my family had a wonderful time and I was super jealous as I have enjoyed skiing here in years past. The front side of the mountain is great green and blues, which our kids loved having some independence to ski on their own. The backside is for the more experienced skier and has some wicked black and double black runs that overlook the valley containing the adorable little town of Phillipsburg. But even sitting on the sidelines, I had a great day soaking up the sun, knitting and reading. I even joined an online meeting from the lodge."
Tripadvisor,Discovery Ski Area,Feb 2019,1,Don't do kinderski unless you want your child to stand around for two hours. No one bothered to call the next day to discuss this concern as they said they would. Discussed with the owner and he made me feel bad for calling. Terrible experience. Do not recommend unless you want instructors to make your kid cry then ignore them. Incredible waste of money with the worst customer service and complete disregard for the well being of children I've ever experienced.
Tripadvisor,Discovery Ski Area,Dec 2018,5,"We really enjoyed skiing here over the holiday. The snow was good, we never waited for a lift, reasonable prices on tickets and food. We had great weather and a very nice day on the slopes. Highly recommend for families."
Tripadvisor,Discovery Ski Area,Mar 2018,3,"Fresh snow and uncrowded slopes and an extreme discount! We were turned on to Discovery Ski mountain by cousins who live in Missoula MT after another trip we had planned fell through over lack of snow. Discovery is just a ski area though and not a true resort. We stayed outside of Missoula and drove about 45 miles to the ski area. It wasn’t too far but I did have to drive in the snow. Next trip I’m considering renting a house at Georgetown lake near the foot of the mountain to be a little closer. The mountain has tons of trails for every level of skier or snowboarder. We didn’t have to wait in lift lines at all. Seriously never had more than three people ahead of us. There is a restaurant where you can warm up and get eats and drinks. It was very inexpensive compared to what we were used to. The workers in the rental shop, at the restaurant, and the patrol on the slopes were all very nice and accommodating. One of the children snowboarding in our group did a hard face plant. The snow patrol took him to a recovery / 1st aid area where he was checked for concussion and cleared before being allowed to continue. The rentals were inexpensive as were the lift tickets. Amazingly I returned home from this vacation with money leftover in our vacation fund! I should also add that while it wasn’t easy to find flights into Missoula MT that the airport was easy and we injoyed our time in the city of Missoula as well."
Tripadvisor,Discovery Ski Area,Mar 2018,3,Really great rental shop staff-Chris provided awesome customer service! Thank you! \nThe mountain is amazing and we had a ton of fun. Really hated the lifts on the backside of the mountain though - definitely in need of some upgrades :)
Tripadvisor,Discovery Ski Area,Feb 2018,3,Discovery is a fabulous place where family and friends meets to have a great time! Their kids ski classes is absolutely awesome! Their instructors are great and have lots of love for the kids! Always great to have a cookie and hot coco when the kids are done!
Tripadvisor,Discovery Ski Area,Jan 2018,4,"We actually only skied 1/2 a day on our way to Missoula but it was still fab skiing.\nLift pass was excellent value, all the staff we met, lift operators, ski patrol &amp; lady who greeted us at the base station, were extremely friendly.\nGreat ski area with a great variety of runs all in great conditions even at the end of the day.\nWish this ski area was our local mountain"
Tripadvisor,Discovery Ski Area,Jan 2017,3,I have been to Discovery multiple times with my kids. The mountain has runs for all skill levels and has a terrain park for snowboarders to enjoy. I have never experienced lift lines here and the last time I went the temp was -20 deg so there was only a hand full of people on the whole mountain... (no locals just crazy travelers on vacation like me) The staff at the day lodge and the lift operators have always maintained a fun and happy attitude which will rub off on you. The bar at the day lodge offered a large selection of spirits and the food served is yummy. There are nice options for lodging nearby like Georgetown Lake Lodge and Fairmont Hot Springs Resort as well as Hotel/Motel options. Your whole family will enjoy the mountain on a lower budget than the other larger ski mountains.
