Review Site,Ski Area,Review Date,Review Star Rating (out of 5),Review Text
Tripadvisor,Red Lodge Mountain,Feb 2012,4,"This is where I ski nearly 100% of the time. RLM doesn't have the super gnarly runs that Jackson Hole or Big Sky have but it still has a wide variety of terrain that will satisfy just about anyone and also doesn't cost an outrageous amount for a lift ticket. The food is better than average and not as expensive as other pricier ski areas. The staff is always friendly and helpful, especially the Mountain Hosts who help get your kids to ski school, help unload your vehicle and even carry bags and skis for you. This is a good place for families and the ski school does an excellent job with kids. The only real downside is that there are no lodging facilities at the mountain but the town of Red Lodge is only 6 miles away and there are several motels and good restaurants in town."
Tripadvisor,Red Lodge Mountain,,5,"I was a first time visitor Jan. 15-18, 2012. It will not be my last. \n\nMy son and I took our ski vacation this year and decided on Red Lodge Montain Resort as our destination because Red Lodge had the most significant amount of snow year to date. Great choice on our part even though we drove 770 miles from Sioux Falls, SD. For me as long as Red Lodge has the snow I will gladly make it an annual trek. \n\nThe staff at the resort were fantastic, everyone from ticket sales to lift ops were friendly and helpful. \n\nThe ski chow was great and not overpriced. This was truly a mom and pop, old fashioned down to resort. \n\nAs an intermediate skier, the terrain was all I could ask for, the variety of runs was awsom. My son (a ski instructor), was more than content with the variety of terrain. \n\nThe snow, dry fluffy powder, wow!!\n\nI'll be back..."
Tripadvisor,Red Lodge Mountain,Jan 2012,4,"We went to RLM because they had the most snow of all the Montana ski hills within 1 days drive of our home in Alberta Canada. We appreciated getting discounted lift tickets at our B&amp;B and the fact that there were no crowds and 14"" of fresh powder"
Tripadvisor,Red Lodge Mountain,,4,This is one of the most gorgeous drives in Montana. The views are amazing! A must see!
Tripadvisor,Red Lodge Mountain,Dec 2011,5,"We drove out from Minneapolis over the Christmas week 2011. \n\nThis place has a monster rise off the local terrain. We had stopped in Billings on the way out to buy discount lift tickets - adults at $42 rather than $49, (college kids get them for $32 at the hill), and could see not only the hill but the runs from the edge of Billings - 50 miles away. The town of Red Lodge is at 5500 ft, the plains below probably at 4000 ft or less, so the view from the top was huge. You could see the Crazy mountains and I'm quite sure the Bridger range to the west. Behind were the peaks and high plateau of the bear tooth range - spectaular. The ski hill peaks are at 9700, chalet base is 7700, but the palisade area drops another 400' for the advertised 2400' vert. But the impressive part is it's 2000 ft straight down. Two main runs run from top to bottom, one is black diamond (upper and lower limited), the other intermediate (lazy M) (but in the midwest it would also be black diamond). All of us went down Lazy M, but it isn't lazy. You wouldn't be able to bomb it - and the limited, which is groomed - would get you up around a hundred if you tucked and kept your feet. That run, if left ungroomed would be a 2 mile mogul run all the way down. Even the beginner lift, Miami beach, has a grade like an intermediate run and is tilted to the fall line, so isn't the best for beginners, but is a full 300 ft in elevation. Our daughters spent much time on that run. The only true beginner area is right out front the chalet in the wide ravine though which all the runs eventually funnel to the main lower lift. The Miami beach area is in it's own side ravine. The main area has a long magic carpet off the north side and a roped area for beginners and lessons. Good area for true beginners. It was packed. \n \nFive days before we arrived they got 2 feet of snow. Three days before our arrival temps got up into the 40s. We saw little powder, almost all hard packed power, and a touch of the hard stuff. Conditions were actually very good and what we like to ski, but I was surprised it settled and got knocked down so fast. This hill was completely open, base of 4' +, nothing else in the West as far as I know was even 75% open at this time, so folks normally running off to Big Sky for the day or Bridger were here. The parking lot is small for ski area size and cars were parked on the side of the access road going a full mile down the road. My wife had an old guy sit with her for a while and said normally the top lot is only half full. Yet in spite of having record crowds, and mostly older lifts, there were no real lift lines. Even on day 2 when they closed the upper lifts due to wind, my son and I took the willow lift multiple times - no lines. An exception to this was the Miami beach lift which ran at a snails pace had a long line and the high speed quad in the palisades area had a bit of a line. The main triple lift flies along, they have a sign in front telling you you'll get knocked on your can if you don't pay attention. \n \nMy son and I skied much on the front side and Latigo in the Cole Creek area. Again very steep grade for an intermediate run. His gps showed a 1000+ ft drop in about a mile. I skied true grit (double black) once - steep with mostly shallow bumps..And of course there was a family of 4 going down it - mom, dad, sister and little sister - about age 5. Not sure what their motivation was - at their rate they were going to get just one run in. Our second time down this area we took the trail that goes to the bottom of the palisades. My son said it was the best trail he's ever been on. Dangerous weaving thing, hard to keep the speed down. Other great mogul runs were Berrys, Thompsons' and Royals run. Even on the lower level of the hill off the side of the main ridge, they had runs like Bigfoot and Bear paw that longer bump runs than most in the Midwest. \n \nBest part of the hill is the terrain, from looking at google earth and the tail map, I underestimated the size and topography. It's much larger, steeper, and varied than I expected. Ridges, valleys and heavily treed. Much more interesting terrain than Solitude and Winter Park, and from what I remember of Keystone and A-basin. Similar but obviously smaller, yet more challenging than Snowmass. The Drainage area looked cool from the chair but not like the map... it's just tree skiing in a really steep gorge. I didn't try it. \n \nShort comings? Lower parking is 50 ft below upper parking. Upper parking is 20 ft below the chalet. Step out of the undersized Chalet, and you have to walk up 12 ft of hill to get to either of the lift lines. Had they not flattened out the area for the parking, they could have continued the runs down another 500 feet into the ravine. They're short of flat areas. Instead of fanning out onto flats, it all funnels in to a congested, overly steep area. I didn't mind, nor did our kids, but not an easy place for beginners. The upper chalet was very nice. Day 2 we stopped in early - almost empty. Next we stopped at noon, jam packed, but again the weather went from calm, sunny and 35 in the morning to maybe 40 mph gusts midday. \n \nThe entire area is in a national forest with limited base facilities for the size of the hill. Sort of like Lutsen on a busy day. They did put in 2 high speed quads in sometime ago - for Cole creek and Palisades, but in my opinion they should have used the Palisade quad (not always in use) and used it to serve the base area, and moved dirt around to make base area more friendly. Also there is no on site lodging so it's a ski hill - not a resort. I imagine the locals would want it to stay the way forever. Limited older lodging in town, inconvenient for beginners, no glamour. In return they get great cheap skiing. I'd go back for another look. Can't say the same for three of the other places I've been to in the last few years."
Tripadvisor,Red Lodge Mountain,Dec 2011,5,Best value on front range. Large enough resort and amazing prices. The only deficiency are the slow lifts but that is definitely covered in reasonable prices.
Tripadvisor,Red Lodge Mountain,Oct 2011,3,cool town with good eating places and very nice shops to buy things
Tripadvisor,Red Lodge Mountain,,3,"Had a great time here with family, nice terrain park, plenty of trails, did I mention student discount. Great front desk service. Rentals were a little in bad shape but I seen worst. Overall Great."
Tripadvisor,Red Lodge Mountain,,3,"This mountain was great, pure Montana powder for a cheaper price than I pay to go out on the ice in Pennsylvania. Plenty of great runs from all ranges, beginner to expert. \n\nOnly issue I had was no lap bars on the lifts, that was kind of freaky. Still, this is an amazing small mountain to ski at. Highly recommended."
Tripadvisor,Red Lodge Mountain,Jun 2020,3,"Took a ride up the mountain in June. It ended up being one of the highlights of our trip! We pulled over and parked (after decsending and finding a great view), No one was up there, it was so quiet and smell of pine was incredible. We sat and listened to birds chirping and nothing else, it was heaven and the view was amazing."
Tripadvisor,Red Lodge Mountain,Mar 2020,3,"If you're going to compare this to other Rocky Mt resorts you will be very disappointed. If you compare this to mid-west hills you will be pretty happy. If you compare this to east coast hills you will be ""meh, not what I expected the rockies to offer"". So with that said and your expectations adjusted lets talk about the mountain itself. Several nice long on-piste groomers, some nice hidden tree runs that get run out fairly quickly and a couple runs for your newbies and kids but not much to offer for the true beginner. That said the mountain and terrain gets a passing grade of a C. Now for the amenities and lodge/ food etc.. I was almost shocked at the lack of a comfortable place to take a break. The lodge is tiny and dated with one dirty bathroom for the entire resort! The food is a typical cafeteria style with limited options and poor quality. There was a mexican option in a yurt that was even a worse option than the typical hot water burgers and fries drenched in canned cheese. The trip up to the hill is long and windy, the parking is below grade, the rental shop had 5 to 6 yr old skies but were fairly efficient given the amount of people. The people however were great and friendly. The town and stay and eat options are limited and most fall below standard other than a few select places. Do yourself a favor and review everything or ask someone whom has been before you blindly chose your destination for a room or food. In closing; I will return in summer but I will question driving 500 miles again to visit the ski resort unless some major improvements are announced. Oh I forgot lift! They still get you up the hill in 50 yr old double chairs and the main chair is a triple that you sit on for 15 minutes! Wow.."
Tripadvisor,Red Lodge Mountain,Dec 2019,4,"Skiing during holidays at bargain prices! Beautiful weather, no-wait lift lines, incredible scenery with challenging runs"
