Review Site,Review ID,Ski Area,Reviewer Name,State,Review Date,Review Star Rating (out of 5),Review Text
Yelp,1,Bridger,Andy Y.,California,12/18/21,5,"My wife and I had an incredible time! I'd been skiing a few times as a kid and she had never tried it, so we signed up for lessons that included rentals. Our instructor (Kristen I believe) was patient, talented & humorous and we had such a fun afternoon hitting the slopes. If you're looking to learn skiing in Montana this is the place to go!"
Yelp,2,Bridger,Patty S. ,Texas,2/28/21,3,"I actually really liked this skiing area. I got reservations four days prior. There weren't a lot of people compared to other resorts. For us, we were happy to have the great selection of greens and blues. This is a no frills place and didn't break the bank like a day of skiing usually does.

The staff for the most part were fantastic. With two notable exceptions and why I can't give a better review.

1) When picking up the ski cards in an outside window, the man in the booth was very rude to the woman in front of me..... ""Put your mask up"". So she did. ""Over your nose"". Keep in mind this guy was behind a glass window. And she was outside. Ick. He was nice to me since I had my nose covered with my scarf. Ridiculous.

2) I was with my younger son, getting on the Sunnyside lift. We don't ski all the time so at first it's hard to get your bearings with all the equipment. They had a mask bouncer at the beginning of the entrance of their ""masked zone"". My son was told to keep his mask over his nose. Which he tried but it loosened literally right when we were about to get on the lift. This guy walked over to my kid (who was on the end to my left) , right when we were about to board, so my son was distracted and I ended up going alone. I was yelling that he shouldn't go alone. So he went up with another family. Let's talk about this........ We were near no one at that point. Outside. Is it safer for my kid to go up with me or another family? And let's talk about safety. Shouldn't he be thinking about getting on the lift safely?

This sh** has to stop. I'm not sure if these people are just drunk on authority but that was out of hand. While everyone else was fantastic, this just pissed mama bear off. Yeah, you.... Dude in the lime green jacket at Sunnyside. Are you waiting for someone to get physically hurt on a lift for this to stop??? I'm shocked this type of thing is happening in Montana. I'm tired of the maskholes."
Yelp,3,Bridger,Pascal P. ,Maryland,4/11/20,5,"Bridger Bowl is an fantastic undiscovered gem of a ski resort that makes me dream about moving to Bozeman. I've been coming to Montana to ski at Big Sky with friends for a number of years. For the past couple of years my wife and I have come in to Bozeman ahead of everyone else to get a day of skiing in at Bridger.

In terms of size Bridger is not in the same league as Big Sky but it's still a very legit ski area. 2,000 acres and 2,600 feet vertical is awesome for a place that's only about a 25 minute drive from downtown. The people who work here are friendly and lift ticket prices are a fraction of the price of big corporate resorts. This past year we came right after the Bozeman area had gotten its first big dump of snow for the season and the crowds & lines were still pretty reasonable on a Saturday. There are no high speed lifts so it can be a long, cold trip up when the wind is blowing but with the low price of lift tickets you can't complain."
Yelp,4,Bridger,Luke L. ,Utah,4/13/21,2,"We were laughing and having fun, terrain is good! The Snow is a little heavy though (coming from Utah). Then ski patrol kicked us out for having a beer, which I NEVER thought would happen at a ski resort. Even in a place as strict as Utah that would never happen! Kind of blew my mind and definitely ruined our experience. Will only be go to Big Sky from now on. At first I was wondering why it was so empty, after that incident with the employees, I understand."
Yelp,5,Bridger,Tom B. ,Nevada,9/1/20,5,Best skiing in the Bozeman area and only about a half hour from town and the scenery is beautiful. I actually go up in the summer and scenic area with lots of wildlife
Yelp,6,Bridger,Jasper Q. ,Montana,12/15/20,1,"Bridger bowl is an amazing place. Current winter conditions are not ideal. That being said, the current management has decided to take it upon themselves to restrict access to an outdoor recreation area to a specific number of people.  Not completely restricting indoor areas to those who do make the cut for daily reservations.  As for reservations, I'm not surprised that all 750 allotted spots went in a matter of hours.  Let's just see if the whole season will go that way.  Maybe they should be looking at how other resorts of similar size are operating in the area(Grand Targhee, Discovery).  Maybe stop all day pass sales instead of restricting season pass holders from doing something they paid for months in advance.   But I forgot they changed their mission statement from ""First to the residents of Gallatin County; second to the citizens of the State of Montana; and, third, to areas out-side Montana, and to do so at the lowest prices consistent with good business practice such as to allow the continued healthy operation of Bridger Bowl. ""  to ""to plan, develop and maintain facilities and services in a financially sound manner which provide the best possible skiing experience at a reasonable cost to local, regional and destination skiers"". Slight change of words big difference in who they are catering to.  Just a thought, wouldn't you want less people from out of state(day passes) skiing at the resort if they potentially are carrying covid and bringing it to a less infected Montana population(season passes).  I would rather the resort be closed for the season if your goal is to protect employees, that would make sense.  And if not,  just keep it open with whatever mask, social distancing policy they deem necessary.  Don't make the decision for people, if you are fearful of Covid than don't go skiing at a resort learn some avalanche safety skills and go into the backcountry where covid can't get ya. Some people cherish these seconds outside and their mental health might even need it.  Don't take it away from them, allow them to make that decision for themselves."
Yelp,7,Bridger,Anna R. ,Arizona,11/16/17,5,"A family favorite since my childhood days.  My family visited Bridger before we even lived in Montana.  Then, upon moving, skiing at Bridger became a weekly activity every single winter.  I have since skied at many different resorts (Big Sky included) and nothing beats hitting the slopes at Bridger Bowl.  
I no longer live in Bozeman but have continued to visit and bring my own children here to ski.  This hill has something for everyone.  Not quite the value it used to be..I remember when a lift ticket cost $19.  But still a great time and a fun, easy going vibe."
Yelp,8,Bridger,Andrew M. ,Connecticut,3/8/19,5,"Some of the best lift-served terrain in the country. A real side and backcountry mecca. If you want to access the most challenging terrain, you do need an avalanche beacon to ride the lift. It isn't hype to call this a strictly expert mountain. If you go here expecting a wide variety of terrain you'll be disappointed. I suspect alot of skiers have come to this mountain over-confident in their abilities, been given a stern dose of reality early in the day, and then been bored the remainder of their time there with the limited terrain within their skill level.

In summary: a truly EXPERT mountain. It is less a ski resort and more a backcountry access point. There's very little terrain for your average skier. There's also no nightlife. Big Sky is where you should go if you're looking for a ski resort

P.S. Skiers from the East Coast almost without fail overestimate their abilities. A ""double-black"" in Vermont does not equate with a double-black here. Not even close"
Yelp,9,Bridger,Jolene H. ,Colorado,3/17/18,4,Great local ski area with solid offerings for runs! We try to head up here from Colorado at least once a year.  Best days here are on the far right in the trees during powder days or in the North and South Bowls :)
Yelp,10,Bridger,Shaun D.,Washington,3/11/18,5,"My wife and I were lucky enough to enjoy knee deep flyaway powder two days in a row at the beginning of March...day two under bluebird skies with no crowds and open powder lines.

It was a great reminder of why Bridger is among my favorite hills in the Northwest.  It's a bit of a trek from Seattle, but it's worth it!"
