Review Site,Ski Area,Review Date,class,Review Star Rating (out of 5),Review Text
Tripadvisor,Whitefish,17-Jan,positive,5,I love Big Mountain for ski-ing or snowboarding. It is one of the most economical mountains to ski/ride and everyone on the mountain is very friendly. Ski in / ski out is the way to go - it also gives you an excuse to go into town for a meal!
Tripadvisor,Whitefish,16-Dec,positive,5,"We have come to Whitefish Mountain Resort to ski 6 times now from FL. The snow is the best powder, and the mountain is large and diverse enough to keep our whole family entertained year after year. It is also the discounts they give to veterans that keeps us coming back. They; …"
Tripadvisor,Whitefish,16-Dec,positive,4,"We took our family skiing over Christmas break and had an incredible time. Everyone on staff was very friendly and even though they were crazy busy in the rental department we were in and out in less than 10 minutes. Very efficient! I have skied at all the resorts in Colorado,; …"
Tripadvisor,Whitefish,16-Dec,positive,4,"We skied two days, I am a retired disabled vet and enjoyed the great discount the first day, they second day they would not honor it for some paper work problem. The trip was so great I hated to have it end in such a terrible way."
Tripadvisor,Whitefish,16-Dec,positive,4,"Very good skiing. Crowds not too bad, but occasionally annoying. Lots of new snow. Friendly staff. We had a good time."
Tripadvisor,Whitefish,17-Feb,negative,3,Champagne pow can't be beat! Definitely a local small town resort with big powder! Tons of terrain to explore.
Tripadvisor,Whitefish,17-Mar,positive,4,We were here the third week of March 2017 after not skiing in Whitefish since the 1980s. WOW ... what a treat. The entire area has changed - for the better ... an abundance of awesome blue cruiser runs ... great blacks and wonderful beginner greens to warm up on and/or learn.; …
Tripadvisor,Whitefish,17-Mar,positive,4,"Amazing ski resort, lots of terrain, from beginner with lessons to double black cliff, cornice jumping, endorphin rushes. Lots of options, frontside, backside, just pick the day, light, snow and decide where to ski."
Tripadvisor,Whitefish,17-Apr,negative,3,"We skied a couple of days here and thought it was awesome - super friendly staff! - incredible amount of groomers - lots of terrain - it's much bigger than it looks on the map, and varied terrain, although it was spring and the ungroomed parts weren't really skiable I would; …"
Tripadvisor,Whitefish,17-Mar,positive,4,Big Mountain aka Whitefish mountain was a great destination. We picked a week when there was a summit dining event and experienced new snow every day. The conditions were powder every day! Did the mountain tour for 2 hours the first day with the ambassadors and learned the; …
Tripadvisor,Whitefish,17-Apr,negative,3,"The breadth of skiing opportunities is simply amazing. We were here the last week of the season and there was still a 10 foot base. There such a variety of runs, from the lightest green to the darkest black runs. We discovered Chair 11 with very few people and a little colder; …"
Tripadvisor,Whitefish,17-Mar,negative,3,Our family loves Whitefish Mountain Resort (formerly Big Mountain). The staff at the ski resort is friendly and they strive to make each visit special. We typically start our day at the Base Lodge where the parking is best.
Tripadvisor,Whitefish,17-Jan,negative,3,"Trying to get a break from the crowds and hustle and bustle of your everyday life? Take a step back and unwind on the uncrowded slopes of Whitefish Mountain Resort. This resort offers 3,000 acres of terrain (currently the 9th largest resort in the US) accessible by a plethora of; …"
Tripadvisor,Whitefish,17-Mar,positive,4,Big Mountain ... hours and hours of cruising ... great snow ... great vibe on the mountain ... the Flower Chair has it's own eco system with phenomenal runs ... The Big Mountain has to be on everybody's list to ski and board!!
Tripadvisor,Whitefish,17-Mar,positive,4,Had another great annual Spring skiing experience with family March 25 2017. Conditions were excellent and no weekend lift line wait? We'll take it!
Tripadvisor,Whitefish,17-Jun,negative,2,"I was not as impressed with this resort as I expected to be. We were away from the lake, but did have a view of a walking path. I was finally happy to be able to relax and use my 3 suitcases at will, only to find them closed up when we returned to our room. Front desk did not; …"
Tripadvisor,Whitefish,17-Jun,negative,3,Visited in June. Chairlift to summit provided incredible 360 degree views . Gondola also an option Windy and got colder as we ascended so jacket needed. Lodge serves basic food from 10:30 am so good for lunch . Bottom level of lodge has activity area for kids to learn about; …
Tripadvisor,Whitefish,17-Mar,negative,3,the big mountain is getting discuvored. very nice place with lots of lodging available. the Mckinny lodge is been there for many years and is very nice. WE love looking at the lights on the slops on night skiing nights from the dinner table or the slops looking at the town; …
Tripadvisor,Whitefish,17-Mar,positive,4,"Many years ago I came to Whitefish to buy property. Skiing was part of the benefit of relocating here. I had skied in many places around the world. Through this experience I had developed my taste for ski mountains, apre ski ambiance, and accessibility. Whitefish Mountain; …"
Tripadvisor,Whitefish,17-May,negative,2,My hubby and I drove up to this lodge hoping for spectacular views of Whitefish lake. What a disappointment. Not much of a ski village really. Maybe we're spoiled by Colorado's ski resorts. 🙃
Tripadvisor,Whitefish,17-Jan,positive,4,"The skiing is top notch, the views are amazing, and the trails and runs are all well marked and kept, plus the lift lines are basically non existent unless your on the bunny hill. The only down side is the only option at base for food is a cafeteria and it gets swamped on a busy; …"
Tripadvisor,Whitefish,17-Jan,positive,4,I love this mountain. It has great intermediate terrain. There are spectacular views when the weather is clear. And there are those ghost trees which are magical. Parking is easy and the VIP parking is only $5 (compare $30 at Snowmass). Lift tickets are very reasonable.; …
Tripadvisor,Whitefish,17-Feb,positive,4,"My husband and I have skied all around the country and this is by far our favorite place. The views are amazing, and the staff is beyond helpful. Added bonus is the Snow Bus, no need to rent a car."
Tripadvisor,Whitefish,17-Feb,positive,4,"Compared to Colorado, a bargain place if you happen to be in the neighborhood. Friendly people and beautiful Montana scenery."
Tripadvisor,Whitefish,17-Feb,positive,5,"If you want good powder and lots of trails to shred this is the place to go! I couldn't get over all the freshly groomed trails and thick powder spots in between the trees, love this place."
Tripadvisor,Whitefish,17-Feb,positive,5,"Whitefish Mountain Resort is beautiful. Grab the Snow Bus (free) in Whitefish and enjoy the ride up. I rented skis at the resort from super friendly, knowledgeable staff who gave me pretty good skis. I'd probably get performance or demos next time. The lift is literally right; …"
Tripadvisor,Whitefish,17-Feb,positive,5,"I've been fortunate to visit WMR during both winter and summer visits the past 10 years and it's one of my favorite places. Winter skiing, summer offers outdoor activities including zip lines. Employees have always been very friendly."
Tripadvisor,Whitefish,16-Mar,positive,4,"One of the best ski mountains. Great view, nice restaurants, reasonable prices and incredible city! Excellent chat of locals."
Tripadvisor,Whitefish,17-Jan,positive,4,"My family and I visit Whitefish, MT several times a year; I've never been a skier but my life was changed after the most incredible 4 day trip we had to Whitefish, MT in January 2017. My kiddos are now proud to say their mom 'skied the fish!' My husband and daughter are avid; …"
Tripadvisor,Whitefish,17-Jan,positive,4,"This is a very nice ski resort, not overly large, very manageable and with lots of interesting trails for intermediate skiers. Mountain is not that high so no worries about elevation related problems. Weekends could get a bit crowded with longer lines at the main lift to the; …"
Tripadvisor,Whitefish,16-Aug,positive,4,"We Air BnB'd for a couple nights in Whitefish and decided to spend one of our days at the mountain. We could have arranged to spend another! There are so many things to do including the alpine slide (it's not just for kids!), the aerial adventure park (challenging for all; …"
Tripadvisor,Whitefish,17-Jan,positive,5,Rode the lift to Whitefish Summit in January. The views were beyond awesome and jaw dropping. You could see the entire valley as well as all the peaks of Glacier in the distance. It was so well worth the $20 price. At the top the Summit House offered casual eats with a very wide; …
Tripadvisor,Whitefish,16-Oct,positive,5,"This resort behind Whitefish is a year around destination. Winter of course, is for skiing, and winter activities. Very fun things to do both up on the mountain and down in Whitefish with its great restaurants and brew-cafes. Summer is for hiking the Danny On trails, views,; …"
