Review Site,Ski Area,Review Date,class,Review Star Rating (out of 5),Review Text
Tripadvisor,Whitefish,17-Feb,negative,3,Champagne pow can't be beat! Definitely a local small town resort with big powder! Tons of terrain to explore.
Tripadvisor,Whitefish,17-Apr,negative,3,"We skied a couple of days here and thought it was awesome - super friendly staff! - incredible amount of groomers - lots of terrain - it's much bigger than it looks on the map, and varied terrain, although it was spring and the ungroomed parts weren't really skiable I would; …"
Tripadvisor,Whitefish,17-Apr,negative,3,"The breadth of skiing opportunities is simply amazing. We were here the last week of the season and there was still a 10 foot base. There such a variety of runs, from the lightest green to the darkest black runs. We discovered Chair 11 with very few people and a little colder; …"
Tripadvisor,Whitefish,17-Mar,negative,3,Our family loves Whitefish Mountain Resort (formerly Big Mountain). The staff at the ski resort is friendly and they strive to make each visit special. We typically start our day at the Base Lodge where the parking is best.
Tripadvisor,Whitefish,17-Jan,negative,3,"Trying to get a break from the crowds and hustle and bustle of your everyday life? Take a step back and unwind on the uncrowded slopes of Whitefish Mountain Resort. This resort offers 3,000 acres of terrain (currently the 9th largest resort in the US) accessible by a plethora of; …"
Tripadvisor,Whitefish,17-Jun,negative,2,"I was not as impressed with this resort as I expected to be. We were away from the lake, but did have a view of a walking path. I was finally happy to be able to relax and use my 3 suitcases at will, only to find them closed up when we returned to our room. Front desk did not; …"
Tripadvisor,Whitefish,17-Jun,negative,3,Visited in June. Chairlift to summit provided incredible 360 degree views . Gondola also an option Windy and got colder as we ascended so jacket needed. Lodge serves basic food from 10:30 am so good for lunch . Bottom level of lodge has activity area for kids to learn about; …
Tripadvisor,Whitefish,17-Mar,negative,3,the big mountain is getting discuvored. very nice place with lots of lodging available. the Mckinny lodge is been there for many years and is very nice. WE love looking at the lights on the slops on night skiing nights from the dinner table or the slops looking at the town; …
Tripadvisor,Whitefish,17-May,negative,2,My hubby and I drove up to this lodge hoping for spectacular views of Whitefish lake. What a disappointment. Not much of a ski village really. Maybe we're spoiled by Colorado's ski resorts. 🙃
Tripadvisor,Whitefish,17-Jul,negative,3,Drove up to the mountain to sit in the sun and have a bite to eat. We did not expect to have such a great selection of food at this venue. The sandwiches we had were top notch and absolutely delicious. The coffee bar was wonderful. There are all kinds of activities going on; …
Tripadvisor,Whitefish,17-Jun,negative,3,Great place. Very scenic. Snow not a requirement. Great ride up gondola or chair lift. Other things to do for adventurous--mountain bike and hiking.
Tripadvisor,Whitefish,17-Aug,negative,3,Our family of 4 zip lined for the first time on Whitefish Mountain Resort. We bought the 7 zip line package and all had a blast! The crew that assisted us were outstanding and everything about our experience was perfect. I was very worried about going after I heard rumors that; …
Tripadvisor,Whitefish,17-Jul,negative,3,The biggest challege is getting up the mountain. It is very steep in places. I was thinking it must be very interesting navigating this road with snow on it. It is a very large ski facility. Our opening banquet was in the large dining area. The food was good but nothing; …
Tripadvisor,Whitefish,17-Jul,negative,3,Stayed here for 2 nights for a wedding. Check-in was very late but they did refund a cleaning deposit because of that. It was an average two-bedroom hotel-type room.
Tripadvisor,Whitefish,17-Jul,negative,3,"The gondola/chairlift ride up Big Mountain in summer is definitely worth the price. We didn't have time to take advantage of all the other activities at the resort, but spending some time at the top of the mountain was an exhilarating experience in itself. The bear grass was in; …"
Tripadvisor,Whitefish,17-Jul,negative,3,This was a fun stop for lunch. Pizza was yummy and unique with huckleberries and goat cheese! Enjoyed the ski lift ride and watching all the young families play!
Tripadvisor,Whitefish,17-Jul,negative,3,I road the chairlift up the mountain while my husband and teens hiked up. Hike was difficult due to a part of the trail being closed and having a steep detour around.
Tripadvisor,Whitefish,16-Sep,negative,3,Took a ride up the chair lift to see the views from the top of the mountain! We were the first people to pony up at the bar that day... we had a few drinks and enjoyed a gorgeous ride back down the mountain.
Tripadvisor,Whitefish,17-Jul,negative,3,"I was terrified to ride the gondola as I have a massive fear of heights, but I had to get to the Summit House for a rehearsal dinner so I got in line. The lower operator couldn't have been nicer. He was so helpful that I jumped right in and up the mountain I went. The views; …"
Tripadvisor,Whitefish,17-Jul,negative,3,"Scheduled zip line, alpine slide &amp; chair lift to the summit. We had an excellent time on the zip tour (Ben &amp; Alyssa were great!). First time for me and two teenage boys. Note, if you exceed the weight of 230 you don't go... they weigh you (safety). We felt very safe and; …"
Tripadvisor,Whitefish,17-Jul,negative,3,We took the lift to the top of the mountain and were rewarded with tremendous views of the area. The walk down the mountain was easy and the real highlight was the abundant fields of beargrass. Spectacular. We also rode the Alpine slide a couple of times. I would recommend; …
Tripadvisor,Whitefish,17-Sep,negative,3,Drove to the resort to check it out. Beautiful place. We could see it from our rental house and wanted to take a closer look. We did go into the lodge hoping for breakfast but they only had a continental breakfast for the quest. Season hadn't started.
Tripadvisor,Whitefish,17-Aug,negative,3,"We went here in August and it was 90 the day we came. By the time we got to the top it was 68. The tram is terrifying, but had ""Gondola Cars,"" and may not have been bad. We enjoyed our time there and the place seemed to have plenty of mountain bikers and hikers. We did not; …"
Tripadvisor,Whitefish,17-Jul,negative,3,We went there during the summer and took a ride up to the top of the hill. Pretty nice views and nice shop at the top of the hill. There was some kind of slide at the base to go down and it looked pretty fun but we didn’t have the time to go down.
Tripadvisor,Whitefish,17-Aug,negative,3,Highly recommend summer or winter. Pleasantly surprised at the amount of activities for the summer. Great place
Tripadvisor,Whitefish,17-Aug,negative,3,We went on the 7 zip line adventure. The guides were great- very friendly and safety conscious. Our youngest was at the lowest weight they allow (60lbs.) They took extra care with her and made sure she made it all the way across every time. It was challenging for them since; …
Tripadvisor,Whitefish,17-Aug,negative,3,"We booked lodging at Whitefish Mountain Resort, hoping to do a few of the summer activities. We stayed at Kintla Lodge, and found that the Upper Village was mostly deserted, I guess due to the construction on the grounds.. The coffee shop is open only from 8 - 10 am. Lunch is; …"
Tripadvisor,Whitefish,18-Jan,negative,2,Great snow and grooming. Base lodge is clean and very nice. The mountain was not at all crowded. Headed back in early March!
Tripadvisor,Whitefish,18-Feb,negative,3,"My ski instructor colleague and I skied two days at Whitefish Mountain. Since we are over 70 we received free skiing. This is a major, destination ski area and as a wide variety of terrain and outstanding views of the Flathead Valley and Whitefish Lake. This year they have; …"
Tripadvisor,Whitefish,18-Feb,negative,3,"This is a great resort. Friendly people all around. Easy access to skiing, the spa, and downtown. Kids enjoyed the pool, hot tub, and walking around the lake."
