Review Site,Review ID,Ski Area,Reviewer Name,State,Review Date,Review Star Rating (out of 5),Review Text
Y,1,Whitefish,Liza S.,California,7/18/21,5,"Perfect way to spend a summer day as a family.  Our two boys 5/7 loved it and so did the grown ups!  Our younger son was too young to join on the ropes course but there was plenty to do while they waited. The staff was helpful and informative and it was a challenging and fun thing for us to do!
We love the alpine slide and tubing!  It's a little pricier than most local activities (about $200 for 4 people), but would definitely recommend!"
Y,2,Whitefish,Jeff M.,Rhode Island,1/20/21,5,"Have nothing but great things to say about the staff at the Mountain Bike Center here at Whitefish Mountain.  The checkin process was clean and efficient, sized us up and had us out on what looked to be brand new bikes in just a few minutes.  

And the resort was well equipped for our excursion.  Lots of terrain, with easy lift access, and plenty of help getting up on the chair for the 1st time.  

I do have a bit to say about that 1st time.  Although I've biked a bit before, I had never been to a mountain to do so.  I expected, not without some cause, that there would be a variety of terrain options.  Just like a ski setup, easy Green stuff, Blue intermediate stuff, and Black Diamond hard core.  And on the trail map, there was.

It was a bit of a surprise that there was not a complete run of Easy terrain that was easy to access.  There was some mild stuff, but you could not connect, even from the rental parking lot, a circuit route with a lift that had a Green loop.  

Second surprise.  Green, well that wasn't quite so easy.  If you aren't a fairly competent off road bike rider, the easy stuff was still a pretty good challenge.  

Surprise number three.  Taking the easiest way down from the summit, that's 12.6 miles.  Ask me how I know.  

I had a pretty great time, especially before I fell off the bike.  Story for another day.  Good spot, lots of fun, but it ain't easy."
Y,3,Whitefish,Richard B.,Canada,1/25/21,5,"After snowboarding in 3 different locations in Montana. Whitefish resort is the gem of Montana. This resort gets an insane amount of snow. There's so much powder here, it's heaven. I have never snowboarded in better conditions. Just straight gliding, and when you fall it doesn't hurt cuz ur falling on powder. If you go to the top of the mountain you can snowboard between a plethora of whited out trees. My jesus, the trees are absolutely beautiful, they are completed whited out, you can't see any green. As you come down the mountain you can see the lake, awesome scenery here.

I was able to board for $73 for all day on a weekday. Amazing price, amazing location. I will definitely come back. The lifts are fast and safe. It definitely gets cold here so bundle up.

For the price and scenery of this place, it's absolutely gorgeous, highly recommend you come here for ski season. Can't wait to come back."
Y,4,Whitefish,Della L.,New York,2/23/21,3,"Beautiful views and ski runs.  Was quite cloudy with low visibility and icy ski conditions at times, especially when using chair lift #1. Must take blue runs to get to green trails if taking lift #1 & #2. Stayed at Edelweiss with nice views, kitchenette and hot tub. Snow bus also a nice perk to go into town.
A few concerns with the workers at the resort. One of the ski lift workers had gloves that said 'inspired to be a dirt bag'. Dan in the base lodge rental area was very rude when we asked about our ski pass not working at night (the 3day pass says nothing about night skiing being excluded from the pass). Lastly, on Sunday when standing in line waiting for ski lift #1 to open, an off-duty youth ski instructor from the resort was in line next to us (Isiah S. from NC) was making threats towards the tourists, saying 'is tourist season open yet? Can we start shooting them yet? When are these chickens gonna fly back to their coop?' He was also threatening to throw coins at people's helmets and had a laser that he was pointing in people's eyes.He was very loud and obnoxious and made sure everyone knew he was an employee at the resort. He even was purposely standing on the back of our skiis. NOT cool.
They are also big sticklers with face masks, even though the state  has lifted the mandatory use. Face masks even needed to be worn outside.
It was good trip, but had better experiences at Big Sky, Keystone, Breckenridge, and Copper Mt."
Y,5,Whitefish,Tara H.,California,8/21/21,1,Staff training recommended- save yourself the frustration.
Y,6,Whitefish,Morgan F.,Pennsylvania,4/19/21,2,Lodging- morning eagle. Easy access to ski lift. Amenities were dated. Limited local dining spots.
Y,7,Whitefish,Lilie X.,Washington,8/17/20,5,Went zip lining for the first time and Quinn and Hunter did an amazing job making it unforgettable! The zip lines were super fun and everywhere we went there was a beautiful view! 10/10 would recommend going zip lining here.
Y,8,Whitefish,Julie B.,Texas,7/19/20,5,"Lots of fun summer activities; tube slide, chair lift, alpine slide and gondola ride.  Beautiful place too. One of my favorite places in Whitefish."
Y,9,Whitefish,Ed M.,Florida,6/17/19,5,"While we are staying in the Whitefish area we decided to head up to Big Mountain and take the lift ride to the top. After a  scenic drive up the mountain we arrived at the lodge and boarded the chair lift to the top. The ride was great and the views of the mountain side were amazing. From hi king trails to mountain bike trailed, we saw them all. Once we got to the top the view was breathtaking. Pictures don't do it justice. It is well worth the $17.00 each. We had a choice from the chair lift or an enclosed gondola. The chair lift was for me.  On the way down you could see the lake and the town. The sights were amazing. If you are in Whitefish y'all need to do this. It was well worth the money."
Y,10,Whitefish,Camille R.,Illinois,8/24/20,5,"Went on August 7, 2020. Alpine lift and alpine slide were fun! Also dropped my card/id while on the lift up from the bottom of the alpine slide and I believe an employee named Aaron took the time to pick it up for me even though they were busy. Glad he did because I would have not been able to board the plane back to Chicago without my ID the next day. Thanks dude, you rock!"
