Resort,Zip,Years,Visits
Big Sky,59716,88-89,"168,000"
Big Sky,59716,89-90,"192,000"
Big Sky,59716,90-91,"212,000"
Big Sky,59716,91-92,"215,492"
Big Sky,59716,92-93,"225,000"
Big Sky,59716,93-94,"218,000"
Big Sky,59716,94-95,"239,000"
Big Sky,59716,95-96,"300,000"
Big Sky,59716,96-97,"295,000"
Big Sky,59716,97-98,"276,693"
Big Sky,59716,98-99,"300,000"
Big Sky,59716,99-00,"292,521"
Big Sky,59716,00-01,"320,767"
Big Sky,59716,01-02,"318,000"
Big Sky,59716,02-03,"294,000"
Big Sky,59716,03-04,"294,000"
Big Sky,59716,04-05,"290,000"
Big Sky,59716,05-06,"323,000"
Big Sky,59716,06-07,"308,000"
Big Sky,59716,07-08,"309,170"
Big Sky,59716,08-09,"285,342"
Big Sky,59716,09-10,"297,375"
Big Sky,59716,10-11,"340,000"
Big Sky,59716,11-12,"341,000"
Big Sky,59716,12-13,"341,000"
Big Sky,59716,13-14,"472,871"
Big Sky,59716,14-15,"440,000"
Big Sky,59716,15-16,"477,000"
Big Sky,59716,16-17,"478,000"
Big Sky,59716,17-18,"500,000"
Big Sky,59716,18-19,"580,000"
Blacktail,59922,88-89,0
Blacktail,59922,89-90,0
Blacktail,59922,90-91,0
Blacktail,59922,91-92,0
Blacktail,59922,92-93,0
Blacktail,59922,93-94,0
Blacktail,59922,94-95,0
Blacktail,59922,95-96,0
Blacktail,59922,96-97,0
Blacktail,59922,97-98,0
Blacktail,59922,98-99,"19,061"
Blacktail,59922,99-00,"21,044"
Blacktail,59922,00-01,"27,705"
Blacktail,59922,44563,"35,715"
Blacktail,59922,44595,"30,887"
Blacktail,59922,44624,"31,051"
Blacktail,59922,44656,"19,191"
Blacktail,59922,44687,"37,356"
Blacktail,59922,44719,"40,215"
Blacktail,59922,44750,"41,657"
Blacktail,59922,44782,"36,815"
Blacktail,59922,44814,"34,733"
Blacktail,59922,44845,"40,641"
Blacktail,59922,44877,"42,271"
Blacktail,59922,44908,"42,516"
Blacktail,59922,13-14,"41,956"
Blacktail,59922,14-15,"33,241"
Blacktail,59922,15-16,"37,479"
Blacktail,59922,16-17,"40,073"
Blacktail,59922,17-18,"44,260"
Blacktail,59922,18-19,"41,852"
Blacktail,59922,19-20,"32,983"
Blacktail,59922,20-21,"44,581"
Bridger,59715,88-89,"135,296"
Bridger,59715,89-90,"144,939"
Bridger,59715,90-91,"107,368"
Bridger,59715,91-92,"142,248"
Bridger,59715,92-93,"145,259"
Bridger,59715,93-94,"174,110"
Bridger,59715,94-95,"192,551"
Bridger,59715,95-96,"151,125"
Bridger,59715,96-97,"172,539"
Bridger,59715,97-98,"143,173"
Bridger,59715,98-99,"174,243"
Bridger,59715,99-00,"172,196"
Bridger,59715,00-01,"158,275"
Bridger,59715,44563,"185,387"
Bridger,59715,44595,"146,383"
Bridger,59715,44624,"168,266"
Bridger,59715,44656,"157,762"
Bridger,59715,44687,"183,812"
Bridger,59715,44719,"135,555"
Bridger,59715,44750,"196,569"
Bridger,59715,44782,"188,621"
Bridger,59715,44814,"199,061"
Bridger,59715,44845,"210,996"
Bridger,59715,44877,"148,074"
Bridger,59715,44908,"185,645"
Bridger,59715,13-14,"217,516"
Bridger,59715,14-15,"204,501"
Bridger,59715,15-16,"244,916"
Bridger,59715,16-17,"227,777"
Bridger,59715,17-18,"264,464"
Bridger,59715,18-19,"291,754"
Bridger,59715,19-20,"255,613"
Bridger,59715,20-21,"227,948"
Discovery,59711,88-89,"39,150"
Discovery,59711,89-90,"41,439"
Discovery,59711,90-91,"33,272"
Discovery,59711,91-92,"40,301"
Discovery,59711,92-93,"44,242"
Discovery,59711,93-94,"40,482"
Discovery,59711,94-95,"55,991"
Discovery,59711,95-96,"62,066"
Discovery,59711,96-97,"57,781"
Discovery,59711,97-98,"56,916"
Discovery,59711,98-99,"57,668"
Discovery,59711,99-00,"49,486"
Discovery,59711,00-01,"53,439"
Discovery,59711,44563,"44,808"
Discovery,59711,44595,"53,337"
Discovery,59711,44624,"60,647"
Discovery,59711,44656,"22,318"
Discovery,59711,44687,"56,770"
Discovery,59711,44719,"57,118"
Discovery,59711,44750,"66,905"
Discovery,59711,44782,"62,214"
Discovery,59711,44814,"53,391"
Discovery,59711,44845,"66,237"
Discovery,59711,44877,"61,056"
Discovery,59711,44908,"62,247"
Discovery,59711,13-14,"56,388"
Discovery,59711,14-15,"55,738"
Discovery,59711,15-16,"66,942"
Discovery,59711,16-17,"54,933"
Discovery,59711,17-18,"68,473"
Discovery,59711,18-19,"77,562"
Discovery,59711,19-20,"55,905"
Discovery,59711,20-21,"66,855"
