Date,24 hr New Snow,Season Snowfall Total,Base Depth
2-Jan-17,8 cm,8 cm,74 cm
4-Jan-17,8 cm,16 cm,71 cm
5-Jan-17,8 cm,24 cm,76 cm
8-Jan-17,10 cm,34 cm,81 cm
10-Jan-17,20 cm,54 cm,79 cm
11-Jan-17,48 cm,102 cm,99 cm
12-Jan-17,10 cm,112 cm,109 cm
20-Jan-17,10 cm,122 cm,94 cm
21-Jan-17,3 cm,125 cm,97 cm
22-Jan-17,15 cm,140 cm,94 cm
23-Jan-17,23 cm,163 cm,102 cm
24-Jan-17,28 cm,191 cm,97 cm
1-Feb-17,3 cm,194 cm,99 cm
2-Feb-17,15 cm,209 cm,97 cm
3-Feb-17,25 cm,234 cm,109 cm
4-Feb-17,20 cm,254 cm,117 cm
5-Feb-17,33 cm,287 cm,109 cm
6-Feb-17,8 cm,295 cm,114 cm
7-Feb-17,38 cm,333 cm,119 cm
8-Feb-17,36 cm,369 cm,132 cm
10-Feb-17,36 cm,405 cm,132 cm
11-Feb-17,18 cm,423 cm,132 cm
12-Feb-17,3 cm,426 cm,91 cm
17-Feb-17,5 cm,431 cm,89 cm
18-Feb-17,10 cm,441 cm,97 cm
19-Feb-17,33 cm,474 cm,91 cm
20-Feb-17,20 cm,494 cm,97 cm
21-Feb-17,28 cm,522 cm,99 cm
22-Feb-17,15 cm,537 cm,91 cm
24-Feb-17,5 cm,542 cm,91 cm
25-Feb-17,5 cm,547 cm,91 cm
26-Feb-17,5 cm,552 cm,86 cm
27-Feb-17,8 cm,560 cm,89 cm
28-Feb-17,13 cm,573 cm,94 cm
1-Mar-17,15 cm,588 cm,94 cm
2-Mar-17,10 cm,598 cm,94 cm
5-Mar-17,8 cm,606 cm,86 cm
6-Mar-17,13 cm,619 cm,91 cm
7-Mar-17,15 cm,634 cm,94 cm
8-Mar-17,20 cm,654 cm,94 cm
9-Mar-17,13 cm,667 cm,97 cm
10-Mar-17,13 cm,680 cm,89 cm
11-Mar-17,15 cm,695 cm,84 cm
17-Mar-17,3 cm,698 cm,76 cm
19-Mar-17,8 cm,706 cm,53 cm
20-Mar-17,8 cm,714 cm,53 cm
21-Mar-17,3 cm,717 cm,64 cm
22-Mar-17,8 cm,725 cm,48 cm
23-Mar-17,3 cm,728 cm,43 cm
24-Mar-17,3 cm,731 cm,41 cm
25-Mar-17,8 cm,739 cm,41 cm
27-Mar-17,3 cm,742 cm,33 cm
28-Mar-17,8 cm,750 cm,33 cm
30-Mar-17,10 cm,760 cm,25 cm
31-Mar-17,3 cm,763 cm,25 cm
5-Jan-16,3 cm,3 cm,51 cm
6-Jan-16,8 cm,11 cm,51 cm
7-Jan-16,5 cm,16 cm,53 cm
8-Jan-16,3 cm,19 cm,58 cm
9-Jan-16,5 cm,24 cm,56 cm
10-Jan-16,18 cm,42 cm,56 cm
14-Jan-16,10 cm,52 cm,56 cm
15-Jan-16,30 cm,82 cm,58 cm
16-Jan-16,13 cm,95 cm,56 cm
17-Jan-16,43 cm,138 cm,61 cm
18-Jan-16,10 cm,148 cm,71 cm
19-Jan-16,18 cm,166 cm,74 cm
20-Jan-16,18 cm,184 cm,84 cm
21-Jan-16,20 cm,204 cm,84 cm
24-Jan-16,13 cm,217 cm,74 cm
25-Jan-16,15 cm,232 cm,74 cm
29-Jan-16,5 cm,237 cm,71 cm
30-Jan-16,43 cm,280 cm,84 cm
31-Jan-16,23 cm,303 cm,89 cm
1-Feb-16,8 cm,311 cm,89 cm
5-Feb-16,13 cm,324 cm,84 cm
6-Feb-16,8 cm,332 cm,84 cm
7-Feb-16,8 cm,340 cm,84 cm
12-Feb-16,3 cm,343 cm,76 cm
14-Feb-16,5 cm,348 cm,71 cm
15-Feb-16,13 cm,361 cm,74 cm
16-Feb-16,5 cm,366 cm,76 cm
19-Feb-16,38 cm,404 cm,61 cm
20-Feb-16,5 cm,409 cm,61 cm
21-Feb-16,3 cm,412 cm,61 cm
22-Feb-16,8 cm,420 cm,61 cm
23-Feb-16,5 cm,425 cm,58 cm
28-Feb-16,18 cm,443 cm,56 cm
1-Mar-16,3 cm,446 cm,58 cm
2-Mar-16,10 cm,456 cm,58 cm
3-Mar-16,3 cm,459 cm,56 cm
7-Mar-16,13 cm,472 cm,53 cm
9-Mar-16,5 cm,477 cm,53 cm
10-Mar-16,10 cm,487 cm,53 cm
14-Mar-16,30 cm,517 cm,46 cm
15-Mar-16,41 cm,558 cm,56 cm
16-Mar-16,33 cm,591 cm,58 cm
17-Mar-16,13 cm,604 cm,58 cm
18-Mar-16,5 cm,609 cm,61 cm
22-Mar-16,18 cm,627 cm,61 cm
23-Mar-16,10 cm,637 cm,58 cm
24-Mar-16,3 cm,640 cm,56 cm
25-Mar-16,20 cm,660 cm,56 cm
28-Mar-16,8 cm,668 cm,56 cm
29-Mar-16,18 cm,686 cm,56 cm
31-Mar-16,3 cm,689 cm,53 cm
1-Apr-16,13 cm,702 cm,53 cm
17-Nov-16,10 cm,712 cm,0 cm
1-Dec-16,15 cm,727 cm,28 cm
2-Dec-16,5 cm,732 cm,30 cm
3-Dec-16,8 cm,740 cm,30 cm
4-Dec-16,15 cm,755 cm,33 cm
5-Dec-16,43 cm,798 cm,46 cm
6-Dec-16,5 cm,803 cm,41 cm
9-Dec-16,10 cm,813 cm,38 cm
10-Dec-16,38 cm,851 cm,53 cm
11-Dec-16,28 cm,879 cm,56 cm
12-Dec-16,10 cm,889 cm,56 cm
13-Dec-16,25 cm,914 cm,36 cm
14-Dec-16,5 cm,919 cm,56 cm
15-Dec-16,18 cm,937 cm,56 cm
16-Dec-16,43 cm,980 cm,64 cm
17-Dec-16,25 cm,1005 cm,56 cm
20-Dec-16,8 cm,1013 cm,51 cm
21-Dec-16,15 cm,1028 cm,56 cm
24-Dec-16,5 cm,1033 cm,58 cm
25-Dec-16,25 cm,1058 cm,58 cm
26-Dec-16,5 cm,1063 cm,74 cm
27-Dec-16,5 cm,1068 cm,58 cm
28-Dec-16,30 cm,1098 cm,76 cm
31-Dec-16,10 cm,1108 cm,74 cm
1-Jan-15,5 cm,5 cm,56 cm
2-Jan-15,20 cm,25 cm,56 cm
3-Jan-15,5 cm,30 cm,56 cm
4-Jan-15,15 cm,45 cm,56 cm
5-Jan-15,53 cm,98 cm,66 cm
6-Jan-15,20 cm,118 cm,69 cm
9-Jan-15,3 cm,121 cm,66 cm
10-Jan-15,3 cm,124 cm,66 cm
11-Jan-15,3 cm,127 cm,64 cm
12-Jan-15,8 cm,135 cm,66 cm
15-Jan-15,3 cm,138 cm,66 cm
16-Jan-15,33 cm,171 cm,69 cm
17-Jan-15,41 cm,212 cm,76 cm
18-Jan-15,10 cm,222 cm,71 cm
19-Jan-15,23 cm,245 cm,79 cm
20-Jan-15,3 cm,248 cm,76 cm
23-Jan-15,3 cm,251 cm,74 cm
24-Jan-15,3 cm,254 cm,74 cm
25-Jan-15,3 cm,257 cm,71 cm
28-Jan-15,5 cm,262 cm,74 cm
29-Jan-15,8 cm,270 cm,71 cm
2-Feb-15,15 cm,285 cm,79 cm
3-Feb-15,15 cm,300 cm,74 cm
4-Feb-15,36 cm,336 cm,84 cm
5-Feb-15,13 cm,349 cm,89 cm
8-Feb-15,8 cm,357 cm,69 cm
10-Feb-15,15 cm,372 cm,66 cm
11-Feb-15,3 cm,375 cm,64 cm
13-Feb-15,3 cm,378 cm,61 cm
14-Feb-15,3 cm,381 cm,61 cm
15-Feb-15,3 cm,384 cm,61 cm
20-Feb-15,18 cm,402 cm,58 cm
21-Feb-15,15 cm,417 cm,61 cm
22-Feb-15,3 cm,420 cm,61 cm
25-Feb-15,5 cm,425 cm,61 cm
28-Feb-15,13 cm,438 cm,64 cm
3-Mar-15,13 cm,451 cm,66 cm
4-Mar-15,3 cm,454 cm,66 cm
12-Mar-15,3 cm,457 cm,58 cm
13-Mar-15,3 cm,460 cm,56 cm
18-Mar-15,3 cm,463 cm,43 cm
24-Mar-15,5 cm,468 cm,25 cm
25-Mar-15,30 cm,498 cm,36 cm
11-Nov-15,3 cm,501 cm,0 cm
13-Nov-15,8 cm,509 cm,0 cm
19-Nov-15,3 cm,512 cm,0 cm
26-Nov-15,5 cm,517 cm,0 cm
5-Dec-15,3 cm,520 cm,0 cm
6-Dec-15,3 cm,523 cm,0 cm
8-Dec-15,18 cm,541 cm,0 cm
10-Dec-15,10 cm,551 cm,0 cm
11-Dec-15,15 cm,566 cm,0 cm
12-Dec-15,3 cm,569 cm,0 cm
13-Dec-15,10 cm,579 cm,0 cm
14-Dec-15,18 cm,597 cm,0 cm
15-Dec-15,5 cm,602 cm,0 cm
17-Dec-15,15 cm,617 cm,30 cm
18-Dec-15,10 cm,627 cm,33 cm
19-Dec-15,8 cm,635 cm,38 cm
20-Dec-15,13 cm,648 cm,38 cm
21-Dec-15,20 cm,668 cm,43 cm
22-Dec-15,38 cm,706 cm,61 cm
23-Dec-15,20 cm,726 cm,48 cm
24-Dec-15,25 cm,751 cm,61 cm
25-Dec-15,18 cm,769 cm,58 cm
1-Jan-14,18 cm,18 cm,104 cm
4-Jan-14,10 cm,28 cm,114 cm
5-Jan-14,5 cm,33 cm,117 cm
9-Jan-14,5 cm,38 cm,117 cm
10-Jan-14,33 cm,71 cm,117 cm
11-Jan-14,10 cm,81 cm,130 cm
12-Jan-14,30 cm,111 cm,132 cm
13-Jan-14,25 cm,136 cm,142 cm
14-Jan-14,8 cm,144 cm,140 cm
27-Jan-14,5 cm,149 cm,119 cm
30-Jan-14,28 cm,177 cm,122 cm
31-Jan-14,20 cm,197 cm,150 cm
1-Feb-14,8 cm,205 cm,157 cm
2-Feb-14,8 cm,213 cm,160 cm
3-Feb-14,5 cm,218 cm,160 cm
4-Feb-14,23 cm,241 cm,160 cm
6-Feb-14,3 cm,244 cm,165 cm
7-Feb-14,5 cm,249 cm,160 cm
8-Feb-14,30 cm,279 cm,168 cm
9-Feb-14,25 cm,304 cm,185 cm
10-Feb-14,3 cm,307 cm,185 cm
11-Feb-14,3 cm,310 cm,185 cm
12-Feb-14,5 cm,315 cm,185 cm
13-Feb-14,30 cm,345 cm,185 cm
14-Feb-14,10 cm,355 cm,211 cm
15-Feb-14,28 cm,383 cm,208 cm
16-Feb-14,5 cm,388 cm,226 cm
17-Feb-14,15 cm,403 cm,226 cm
19-Feb-14,15 cm,418 cm,226 cm
20-Feb-14,15 cm,433 cm,229 cm
21-Feb-14,28 cm,461 cm,234 cm
22-Feb-14,10 cm,471 cm,251 cm
23-Feb-14,48 cm,519 cm,244 cm
24-Feb-14,10 cm,529 cm,244 cm
25-Feb-14,5 cm,534 cm,244 cm
26-Feb-14,8 cm,542 cm,244 cm
28-Feb-14,18 cm,560 cm,254 cm
1-Mar-14,13 cm,573 cm,257 cm
2-Mar-14,43 cm,616 cm,257 cm
3-Mar-14,15 cm,631 cm,257 cm
4-Mar-14,23 cm,654 cm,257 cm
5-Mar-14,13 cm,667 cm,257 cm
6-Mar-14,5 cm,672 cm,292 cm
7-Mar-14,15 cm,687 cm,284 cm
10-Mar-14,5 cm,692 cm,282 cm
11-Mar-14,28 cm,720 cm,282 cm
15-Mar-14,20 cm,740 cm,282 cm
18-Mar-14,30 cm,770 cm,287 cm
19-Mar-14,3 cm,773 cm,292 cm
27-Mar-14,13 cm,786 cm,262 cm
28-Mar-14,13 cm,799 cm,267 cm
29-Mar-14,3 cm,802 cm,274 cm
30-Mar-14,28 cm,830 cm,269 cm
31-Mar-14,28 cm,858 cm,269 cm
2-Apr-14,8 cm,866 cm,269 cm
5-Apr-14,3 cm,869 cm,284 cm
6-Apr-14,10 cm,879 cm,282 cm
15-Nov-14,8 cm,887 cm,0 cm
22-Nov-14,3 cm,890 cm,28 cm
24-Nov-14,86 cm,976 cm,81 cm
26-Nov-14,53 cm,1029 cm,71 cm
29-Nov-14,20 cm,1049 cm,46 cm
30-Nov-14,46 cm,1095 cm,36 cm
1-Dec-14,25 cm,1120 cm,36 cm
2-Dec-14,23 cm,1143 cm,41 cm
3-Dec-14,3 cm,1146 cm,41 cm
4-Dec-14,5 cm,1151 cm,41 cm
