Date,24 hr New Snow,Season Snowfall Total,Base Depth
1-Jan-17,8 cm,8 cm,0 cm
6-Jan-17,1 cm,9 cm,0 cm
7-Jan-17,4 cm,13 cm,0 cm
9-Jan-17,15 cm,28 cm,0 cm
10-Jan-17,3 cm,31 cm,0 cm
17-Jan-17,8 cm,39 cm,0 cm
18-Jan-17,39 cm,78 cm,0 cm
19-Jan-17,36 cm,114 cm,0 cm
20-Jan-17,14 cm,128 cm,0 cm
22-Jan-17,5 cm,133 cm,0 cm
23-Jan-17,2 cm,135 cm,0 cm
30-Jan-17,5 cm,140 cm,0 cm
4-Feb-17,28 cm,168 cm,0 cm
5-Feb-17,35 cm,203 cm,0 cm
6-Feb-17,3 cm,206 cm,0 cm
7-Feb-17,2 cm,208 cm,0 cm
9-Feb-17,32 cm,240 cm,0 cm
10-Feb-17,17 cm,257 cm,0 cm
11-Feb-17,4 cm,261 cm,0 cm
15-Feb-17,16 cm,277 cm,0 cm
16-Feb-17,1 cm,278 cm,0 cm
17-Feb-17,3 cm,281 cm,0 cm
19-Feb-17,4 cm,285 cm,0 cm
20-Feb-17,12 cm,297 cm,0 cm
24-Feb-17,1 cm,298 cm,0 cm
26-Feb-17,1 cm,299 cm,0 cm
1-Mar-17,6 cm,305 cm,0 cm
2-Mar-17,7 cm,312 cm,0 cm
3-Mar-17,28 cm,340 cm,0 cm
4-Mar-17,21 cm,361 cm,0 cm
5-Mar-17,4 cm,365 cm,0 cm
6-Mar-17,18 cm,383 cm,0 cm
7-Mar-17,11 cm,394 cm,0 cm
8-Mar-17,11 cm,405 cm,0 cm
9-Mar-17,3 cm,408 cm,0 cm
10-Mar-17,21 cm,429 cm,0 cm
11-Mar-17,1 cm,430 cm,0 cm
12-Mar-17,15 cm,445 cm,0 cm
13-Mar-17,9 cm,454 cm,0 cm
14-Mar-17,3 cm,457 cm,0 cm
15-Mar-17,2 cm,459 cm,0 cm
16-Mar-17,10 cm,469 cm,0 cm
17-Mar-17,10 cm,479 cm,0 cm
18-Mar-17,25 cm,504 cm,0 cm
19-Mar-17,4 cm,508 cm,0 cm
22-Mar-17,5 cm,513 cm,0 cm
23-Mar-17,21 cm,534 cm,0 cm
24-Mar-17,13 cm,547 cm,0 cm
25-Mar-17,11 cm,558 cm,0 cm
26-Mar-17,4 cm,562 cm,0 cm
27-Mar-17,7 cm,569 cm,0 cm
28-Mar-17,12 cm,581 cm,0 cm
29-Mar-17,15 cm,596 cm,0 cm
30-Mar-17,16 cm,612 cm,0 cm
1-Apr-17,12 cm,624 cm,0 cm
4-Jan-16,1 cm,1 cm,160 cm
5-Jan-16,6 cm,7 cm,167 cm
6-Jan-16,6 cm,13 cm,172 cm
13-Jan-16,16 cm,29 cm,185 cm
14-Jan-16,1 cm,30 cm,185 cm
16-Jan-16,12 cm,42 cm,181 cm
17-Jan-16,13 cm,55 cm,189 cm
18-Jan-16,11 cm,66 cm,205 cm
19-Jan-16,20 cm,86 cm,220 cm
21-Jan-16,24 cm,110 cm,208 cm
22-Jan-16,8 cm,118 cm,220 cm
26-Jan-16,5 cm,123 cm,201 cm
28-Jan-16,8 cm,131 cm,202 cm
29-Jan-16,1 cm,132 cm,198 cm
30-Jan-16,11 cm,143 cm,206 cm
31-Jan-16,14 cm,157 cm,209 cm
3-Feb-16,2 cm,159 cm,205 cm
4-Feb-16,10 cm,169 cm,221 cm
5-Feb-16,20 cm,189 cm,208 cm
6-Feb-16,42 cm,231 cm,248 cm
7-Feb-16,1 cm,232 cm,252 cm
10-Feb-16,1 cm,233 cm,232 cm
12-Feb-16,13 cm,246 cm,233 cm
13-Feb-16,10 cm,256 cm,242 cm
14-Feb-16,11 cm,267 cm,247 cm
15-Feb-16,4 cm,271 cm,246 cm
16-Feb-16,19 cm,290 cm,262 cm
17-Feb-16,8 cm,298 cm,260 cm
18-Feb-16,16 cm,314 cm,266 cm
19-Feb-16,3 cm,317 cm,266 cm
20-Feb-16,8 cm,325 cm,265 cm
21-Feb-16,4 cm,329 cm,265 cm
22-Feb-16,2 cm,331 cm,262 cm
27-Feb-16,1 cm,332 cm,249 cm
28-Feb-16,17 cm,349 cm,248 cm
29-Feb-16,14 cm,363 cm,268 cm
1-Mar-16,24 cm,387 cm,266 cm
