STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00058204,"TELLURIDE 4 WNW, CO US",1/1/2021,,,0,0,9,33,-1,17
USC00058204,"TELLURIDE 4 WNW, CO US",1/2/2021,,,0,0,9,32,-7,6
USC00058204,"TELLURIDE 4 WNW, CO US",1/3/2021,,,0,0,9,33,-4,17
USC00058204,"TELLURIDE 4 WNW, CO US",1/4/2021,,,0,0,9,35,-4,3
USC00058204,"TELLURIDE 4 WNW, CO US",1/5/2021,,,0,0,9,43,1,32
USC00058204,"TELLURIDE 4 WNW, CO US",1/6/2021,,,0.05,0.5,9,32,-2,18
USC00058204,"TELLURIDE 4 WNW, CO US",1/7/2021,,,0,0,9,40,1,34
USC00058204,"TELLURIDE 4 WNW, CO US",1/8/2021,,,0,0,9,,,
USC00058204,"TELLURIDE 4 WNW, CO US",1/9/2021,,,0,0,9,,,
USC00058204,"TELLURIDE 4 WNW, CO US",1/10/2021,,,0,0,9,,,
USC00058204,"TELLURIDE 4 WNW, CO US",1/11/2021,,,0,0,9,,,
USC00058204,"TELLURIDE 4 WNW, CO US",1/12/2021,,,0,0,9,31,-11,6
USC00058204,"TELLURIDE 4 WNW, CO US",1/13/2021,,,0,0,9,39,2,9
USC00058204,"TELLURIDE 4 WNW, CO US",1/14/2021,,,0,0,9,43,2,24
USC00058204,"TELLURIDE 4 WNW, CO US",1/15/2021,,,0,0,9,33,5,11
USC00058204,"TELLURIDE 4 WNW, CO US",1/16/2021,,,0,0,9,39,4,
USC00058204,"TELLURIDE 4 WNW, CO US",1/17/2021,,,0,0,8,39,5,19
USC00058204,"TELLURIDE 4 WNW, CO US",1/18/2021,,,0,0,8,43,11,35
USC00058204,"TELLURIDE 4 WNW, CO US",1/19/2021,,,0,0.1,9,43,11,20
USC00058204,"TELLURIDE 4 WNW, CO US",1/20/2021,,,0,0,9,33,8,12
USC00058204,"TELLURIDE 4 WNW, CO US",1/21/2021,,,0,0,9,39,4,9
USC00058204,"TELLURIDE 4 WNW, CO US",1/22/2021,,,0,0,9,36,7,20
USC00058204,"TELLURIDE 4 WNW, CO US",1/23/2021,,,0.17,3.1,12,36,20,27
USC00058204,"TELLURIDE 4 WNW, CO US",1/24/2021,,,0.19,3.7,15,33,18,27
USC00058204,"TELLURIDE 4 WNW, CO US",1/25/2021,,,0,0,15,31,11,18
USC00058204,"TELLURIDE 4 WNW, CO US",1/26/2021,,,0,0,15,31,4,9
USC00058204,"TELLURIDE 4 WNW, CO US",1/27/2021,,,0,0,15,19,-17,-9
USC00058204,"TELLURIDE 4 WNW, CO US",1/28/2021,,,0,0,15,47,-11,
USC00058204,"TELLURIDE 4 WNW, CO US",1/29/2021,,,0,0,15,47,25,37
USC00058204,"TELLURIDE 4 WNW, CO US",1/30/2021,,,0.2,1,16,40,18,28
USC00058204,"TELLURIDE 4 WNW, CO US",1/31/2021,,,0,0,15,41,-8,40
USC00058204,"TELLURIDE 4 WNW, CO US",2/1/2021,,,0,0,11,44,-8,
USC00058204,"TELLURIDE 4 WNW, CO US",2/2/2021,,,0,0,11,46,27,36
USC00058204,"TELLURIDE 4 WNW, CO US",2/3/2021,,,0,0,11,48,26,35
USC00058204,"TELLURIDE 4 WNW, CO US",2/4/2021,,,0.14,3.5,15,45,10,13
USC00058204,"TELLURIDE 4 WNW, CO US",2/5/2021,,,0,0,15,25,-4,0
USC00058204,"TELLURIDE 4 WNW, CO US",2/6/2021,,,0.06,1,14,29,-2,11
USC00058204,"TELLURIDE 4 WNW, CO US",2/7/2021,,,0,0,13,33,-1,17
USC00058204,"TELLURIDE 4 WNW, CO US",2/8/2021,,,0,0,13,39,4,30
USC00058204,"TELLURIDE 4 WNW, CO US",2/9/2021,,,0,0,13,41,4,28
USC00058204,"TELLURIDE 4 WNW, CO US",2/10/2021,,,0.03,2,14,40,26,30
USC00058204,"TELLURIDE 4 WNW, CO US",2/11/2021,,,0,0,14,30,12,12
USC00058204,"TELLURIDE 4 WNW, CO US",2/12/2021,,,0.01,0.3,14,45,10,30
USC00058204,"TELLURIDE 4 WNW, CO US",2/13/2021,,,0,0,14,34,21,32
USC00058204,"TELLURIDE 4 WNW, CO US",2/14/2021,,,0.11,1.5,15,32,17,21
USC00058204,"TELLURIDE 4 WNW, CO US",2/15/2021,,,0.02,0.5,16,27,1,6
USC00058204,"TELLURIDE 4 WNW, CO US",2/16/2021,,,0.19,5,20,22,6,20
USC00058204,"TELLURIDE 4 WNW, CO US",2/17/2021,,,0.24,5,23,23,3,15
USC00058204,"TELLURIDE 4 WNW, CO US",2/18/2021,,,0,0.2,21,23,-10,8
USC00058204,"TELLURIDE 4 WNW, CO US",2/19/2021,,,0,0,20,31,-10,
USC00058204,"TELLURIDE 4 WNW, CO US",2/20/2021,,,0,0,20,39,14,30
USC00058204,"TELLURIDE 4 WNW, CO US",2/21/2021,,,0.15,3.6,20,30,5,24
USC00058204,"TELLURIDE 4 WNW, CO US",2/22/2021,,,0,0,20,30,-4,23
USC00058204,"TELLURIDE 4 WNW, CO US",2/23/2021,,,0,0,20,43,-4,18
USC00058204,"TELLURIDE 4 WNW, CO US",2/24/2021,,,0,0,20,45,0,14
USC00058204,"TELLURIDE 4 WNW, CO US",2/25/2021,,,0,0,19,41,6,
USC00058204,"TELLURIDE 4 WNW, CO US",2/26/2021,,,0,0,19,34,7,7
USC00058204,"TELLURIDE 4 WNW, CO US",2/27/2021,,,0,0.1,18,35,7,23
USC00058204,"TELLURIDE 4 WNW, CO US",2/28/2021,,,0,0,18,26,-7,19
USC00058204,"TELLURIDE 4 WNW, CO US",3/1/2021,,,0,0,18,26,-8,2
USC00058204,"TELLURIDE 4 WNW, CO US",3/2/2021,,,0,0,17,40,-2,21
USC00058204,"TELLURIDE 4 WNW, CO US",3/3/2021,,,0,0,16,45,2,8
USC00058204,"TELLURIDE 4 WNW, CO US",3/4/2021,,,0.22,4.5,21,49,8,27
USC00058204,"TELLURIDE 4 WNW, CO US",3/5/2021,,,0,0.1,21,33,10,32
USC00058204,"TELLURIDE 4 WNW, CO US",3/6/2021,,,0,0,20,47,13,
USC00058204,"TELLURIDE 4 WNW, CO US",3/7/2021,,,0,0,19,52,13,
USC00058204,"TELLURIDE 4 WNW, CO US",3/8/2021,,,0,0,19,53,28,37
USC00058204,"TELLURIDE 4 WNW, CO US",3/9/2021,,,0,0,18,48,26,29
USC00058204,"TELLURIDE 4 WNW, CO US",3/10/2021,,,0,0.8,19,48,17,30
USC00058204,"TELLURIDE 4 WNW, CO US",3/11/2021,,,0,0,19,33,21,26
USC00058204,"TELLURIDE 4 WNW, CO US",3/12/2021,,,0,0,19,36,19,24
USC00058204,"TELLURIDE 4 WNW, CO US",3/13/2021,,,0,0,18,43,18,23
USC00058204,"TELLURIDE 4 WNW, CO US",3/14/2021,,,0.85,11.2,24,30,18,27
USC00058204,"TELLURIDE 4 WNW, CO US",3/15/2021,,,0.12,0.5,21,31,17,28
USC00058204,"TELLURIDE 4 WNW, CO US",3/16/2021,,,0,0,21,28,8,25
USC00058204,"TELLURIDE 4 WNW, CO US",3/17/2021,,,0,0,20,41,10,20
USC00058204,"TELLURIDE 4 WNW, CO US",3/18/2021,,,0,0,18,46,6,30
USC00058204,"TELLURIDE 4 WNW, CO US",3/19/2021,,,0,0,16,54,26,
USC00058204,"TELLURIDE 4 WNW, CO US",3/20/2021,,,0.04,0,16,51,26,38
USC00058204,"TELLURIDE 4 WNW, CO US",3/21/2021,,,0.07,1,17,39,20,24
USC00058204,"TELLURIDE 4 WNW, CO US",3/22/2021,,,0,0,16,36,24,25
USC00058204,"TELLURIDE 4 WNW, CO US",3/23/2021,,,0,0,15,36,19,24
USC00058204,"TELLURIDE 4 WNW, CO US",3/24/2021,,,0,0,15,36,18,21
USC00058204,"TELLURIDE 4 WNW, CO US",3/25/2021,,,0,0,15,32,10,21
USC00058204,"TELLURIDE 4 WNW, CO US",3/26/2021,,,0.09,1.5,16,32,21,28
USC00058204,"TELLURIDE 4 WNW, CO US",3/27/2021,,,0,0,14,34,10,30
USC00058204,"TELLURIDE 4 WNW, CO US",3/28/2021,,,0,0,11,39,10,31
USC00058204,"TELLURIDE 4 WNW, CO US",3/29/2021,,,0,0,7,51,19,33
USC00058204,"TELLURIDE 4 WNW, CO US",3/30/2021,,,0,0,5,53,24,30
USC00058204,"TELLURIDE 4 WNW, CO US",3/31/2021,,,0,0,3,36,6,28
USC00058204,"TELLURIDE 4 WNW, CO US",4/1/2021,,,0,0,0,47,10,10
USC00058204,"TELLURIDE 4 WNW, CO US",4/2/2021,,,0,0,0,57,10,26
USC00058204,"TELLURIDE 4 WNW, CO US",4/3/2021,,,0,0,0,61,21,
USC00058204,"TELLURIDE 4 WNW, CO US",4/4/2021,,,0,0,0,64,23,
USC00058204,"TELLURIDE 4 WNW, CO US",4/5/2021,,,0,0,0,64,25,28
USC00058204,"TELLURIDE 4 WNW, CO US",4/6/2021,,,0,0,0,63,27,37
USC00058204,"TELLURIDE 4 WNW, CO US",4/7/2021,,,0,0,0,,,19
USC00058204,"TELLURIDE 4 WNW, CO US",4/8/2021,,,0,0,0,50,19,26
USC00058204,"TELLURIDE 4 WNW, CO US",4/9/2021,,,0,0,0,56,19,23
USC00058204,"TELLURIDE 4 WNW, CO US",4/10/2021,,,0,0,0,51,17,31
USC00058204,"TELLURIDE 4 WNW, CO US",4/11/2021,,,0,0,0,55,18,30
USC00058204,"TELLURIDE 4 WNW, CO US",4/12/2021,,,0,0,0,57,21,39
USC00058204,"TELLURIDE 4 WNW, CO US",4/13/2021,,,0,0,0,58,32,43
USC00058204,"TELLURIDE 4 WNW, CO US",4/14/2021,,,0,0,0,50,37,41
USC00058204,"TELLURIDE 4 WNW, CO US",4/15/2021,,,0,0,0,57,36,39
USC00058204,"TELLURIDE 4 WNW, CO US",4/16/2021,,,0.1,0,0,49,31,32
USC00058204,"TELLURIDE 4 WNW, CO US",4/17/2021,,,0,0,0,39,22,25
USC00058204,"TELLURIDE 4 WNW, CO US",4/18/2021,,,0,0,0,37,14,24
USC00058204,"TELLURIDE 4 WNW, CO US",4/19/2021,,,0,0,0,24,18,22
USC00058204,"TELLURIDE 4 WNW, CO US",4/20/2021,,,0,0,0,53,22,24
USC00058204,"TELLURIDE 4 WNW, CO US",4/21/2021,,,0,0,0,34,24,34
USC00058204,"TELLURIDE 4 WNW, CO US",4/22/2021,,,0,0,0,52,32,36
USC00058204,"TELLURIDE 4 WNW, CO US",4/23/2021,,,0.1,0,0,47,25,28
USC00058204,"TELLURIDE 4 WNW, CO US",4/24/2021,,,0,0,0,53,20,
USC00058204,"TELLURIDE 4 WNW, CO US",4/25/2021,,,0,0,0,58,30,
USC00058204,"TELLURIDE 4 WNW, CO US",4/26/2021,,,0,0,0,60,30,43
USC00058204,"TELLURIDE 4 WNW, CO US",4/27/2021,,,0,0,0,56,29,30
USC00058204,"TELLURIDE 4 WNW, CO US",4/28/2021,,,0,0,0,56,20,46
USC00058204,"TELLURIDE 4 WNW, CO US",4/29/2021,,,0,0,0,63,24,
USC00058204,"TELLURIDE 4 WNW, CO US",4/30/2021,,,0,0,0,64,24,
USC00058204,"TELLURIDE 4 WNW, CO US",5/1/2021,,,0,0,0,67,28,
USC00058204,"TELLURIDE 4 WNW, CO US",5/2/2021,,,0,0,0,71,28,
USC00058204,"TELLURIDE 4 WNW, CO US",5/3/2021,,,0,0,0,63,34,35
USC00058204,"TELLURIDE 4 WNW, CO US",5/4/2021,,,0.12,0,0,63,24,29
USC00058204,"TELLURIDE 4 WNW, CO US",5/5/2021,,,0,0,0,54,27,30
USC00058204,"TELLURIDE 4 WNW, CO US",5/6/2021,,,0,0,0,60,22,24
USC00058204,"TELLURIDE 4 WNW, CO US",5/7/2021,,,0,0,0,69,24,32
USC00058204,"TELLURIDE 4 WNW, CO US",5/8/2021,,,0,0,0,67,31,
USC00058204,"TELLURIDE 4 WNW, CO US",5/9/2021,,,0,0,0,65,22,50
USC00058204,"TELLURIDE 4 WNW, CO US",5/10/2021,,,0,0,0,53,33,33
USC00058204,"TELLURIDE 4 WNW, CO US",5/11/2021,,,0,0,0,51,22,25
USC00058204,"TELLURIDE 4 WNW, CO US",5/12/2021,,,0,0,0,52,20,25
USC00058204,"TELLURIDE 4 WNW, CO US",5/13/2021,,,0,0,0,60,23,31
USC00058204,"TELLURIDE 4 WNW, CO US",5/14/2021,,,0,0,0,68,26,31
USC00058204,"TELLURIDE 4 WNW, CO US",5/15/2021,,,0,0,0,70,27,
USC00058204,"TELLURIDE 4 WNW, CO US",5/16/2021,,,0,0,0,67,33,
USC00058204,"TELLURIDE 4 WNW, CO US",5/17/2021,,,0,0,0,66,38,47
USC00058204,"TELLURIDE 4 WNW, CO US",5/18/2021,,,0,0,0,61,34,40
USC00058204,"TELLURIDE 4 WNW, CO US",5/19/2021,,,0,0,0,57,34,35
USC00058204,"TELLURIDE 4 WNW, CO US",5/20/2021,,,0,0,0,66,35,39
USC00058204,"TELLURIDE 4 WNW, CO US",5/21/2021,,,0,0,0,66,39,40
USC00058204,"TELLURIDE 4 WNW, CO US",5/22/2021,,,0.55,0,0,51,31,
USC00058204,"TELLURIDE 4 WNW, CO US",5/23/2021,,,0.12,0,0,58,34,45
USC00058204,"TELLURIDE 4 WNW, CO US",5/24/2021,,,0,0,0,54,24,28
USC00058204,"TELLURIDE 4 WNW, CO US",5/25/2021,,,0,0,0,66,25,41
USC00058204,"TELLURIDE 4 WNW, CO US",5/26/2021,,,0,0,0,67,33,41
USC00058204,"TELLURIDE 4 WNW, CO US",5/27/2021,,,0,0,0,63,26,34
USC00058204,"TELLURIDE 4 WNW, CO US",5/28/2021,,,0,0,0,68,30,
USC00058204,"TELLURIDE 4 WNW, CO US",5/29/2021,,,0,0,0,66,29,46
USC00058204,"TELLURIDE 4 WNW, CO US",5/30/2021,,,0,0,0,71,30,
USC00058204,"TELLURIDE 4 WNW, CO US",5/31/2021,,,0,0,0,68,34,51
USC00058204,"TELLURIDE 4 WNW, CO US",6/1/2021,,,0,0,0,57,28,35
USC00058204,"TELLURIDE 4 WNW, CO US",6/2/2021,,,0,0,0,66,33,37
USC00058204,"TELLURIDE 4 WNW, CO US",6/3/2021,,,0,0,0,72,33,39
USC00058204,"TELLURIDE 4 WNW, CO US",6/4/2021,,,0,0,0,74,35,43
USC00058204,"TELLURIDE 4 WNW, CO US",6/5/2021,,,0,0,0,79,43,
USC00058204,"TELLURIDE 4 WNW, CO US",6/6/2021,,,0,0,0,77,41,
USC00058204,"TELLURIDE 4 WNW, CO US",6/7/2021,,,0,0,0,76,37,47
USC00058204,"TELLURIDE 4 WNW, CO US",6/8/2021,,,0,0,0,77,36,56
USC00058204,"TELLURIDE 4 WNW, CO US",6/9/2021,,,0,0,0,76,31,58
USC00058204,"TELLURIDE 4 WNW, CO US",6/10/2021,,,0,0,0,80,39,
USC00058204,"TELLURIDE 4 WNW, CO US",6/11/2021,,,0,0,0,80,32,43
USC00058204,"TELLURIDE 4 WNW, CO US",6/12/2021,,,0,0,0,79,31,
USC00058204,"TELLURIDE 4 WNW, CO US",6/13/2021,,,0,0,0,82,31,
USC00058204,"TELLURIDE 4 WNW, CO US",6/14/2021,,,0,0,0,85,34,40
USC00058204,"TELLURIDE 4 WNW, CO US",6/15/2021,,,0,0,0,86,34,42
USC00058204,"TELLURIDE 4 WNW, CO US",6/16/2021,,,0,0,0,88,40,51
USC00058204,"TELLURIDE 4 WNW, CO US",6/17/2021,,,0,0,0,85,49,
USC00058204,"TELLURIDE 4 WNW, CO US",6/18/2021,,,0,0,0,82,42,51
USC00058204,"TELLURIDE 4 WNW, CO US",6/19/2021,,,0,0,0,84,45,
USC00058204,"TELLURIDE 4 WNW, CO US",6/20/2021,,,0,0,0,79,38,
USC00058204,"TELLURIDE 4 WNW, CO US",6/21/2021,,,0,0,0,82,34,58
USC00058204,"TELLURIDE 4 WNW, CO US",6/22/2021,,,0,0,0,81,40,48
USC00058204,"TELLURIDE 4 WNW, CO US",6/23/2021,,,,0,0,,,
USC00058204,"TELLURIDE 4 WNW, CO US",6/24/2021,2,0.18,,0,0,82,41,50
USC00058204,"TELLURIDE 4 WNW, CO US",6/25/2021,,,0.21,0,0,71,38,42
USC00058204,"TELLURIDE 4 WNW, CO US",6/26/2021,,,0,0,0,71,36,59
USC00058204,"TELLURIDE 4 WNW, CO US",6/27/2021,,,0.4,0,0,65,35,58
USC00058204,"TELLURIDE 4 WNW, CO US",6/28/2021,,,,0,0,,,
USC00058204,"TELLURIDE 4 WNW, CO US",6/29/2021,2,0.05,,0,0,70,36,48
USC00058204,"TELLURIDE 4 WNW, CO US",6/30/2021,,,0.39,0,0,61,44,
USC00058204,"TELLURIDE 4 WNW, CO US",7/1/2021,,,0.02,0,0,66,40,56
USC00058204,"TELLURIDE 4 WNW, CO US",7/2/2021,,,0,0,0,71,40,47
USC00058204,"TELLURIDE 4 WNW, CO US",7/3/2021,,,0,0,0,78,46,
USC00058204,"TELLURIDE 4 WNW, CO US",7/4/2021,,,0,0,0,80,42,
USC00058204,"TELLURIDE 4 WNW, CO US",7/5/2021,,,0,0,0,83,46,63
USC00058204,"TELLURIDE 4 WNW, CO US",7/6/2021,,,0,0,0,83,47,49
USC00058204,"TELLURIDE 4 WNW, CO US",7/7/2021,,,0,0,0,79,41,44
USC00058204,"TELLURIDE 4 WNW, CO US",7/8/2021,,,0,0,0,84,44,62
USC00058204,"TELLURIDE 4 WNW, CO US",7/9/2021,,,0,0,0,83,43,50
USC00058204,"TELLURIDE 4 WNW, CO US",7/10/2021,,,0,0,0,87,42,62
USC00058204,"TELLURIDE 4 WNW, CO US",7/11/2021,,,0,0,0,85,40,
USC00058204,"TELLURIDE 4 WNW, CO US",7/12/2021,,,0,0,0,81,39,46
USC00058204,"TELLURIDE 4 WNW, CO US",7/13/2021,,,0,0,0,84,45,53
USC00058204,"TELLURIDE 4 WNW, CO US",7/14/2021,,,1.03,0,0,79,48,51
USC00058204,"TELLURIDE 4 WNW, CO US",7/15/2021,,,0.9,0,0,68,41,45
USC00058204,"TELLURIDE 4 WNW, CO US",7/16/2021,,,0.11,0,0,76,41,45
