STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT06
USC00240780,"BIG TIMBER, MT US",1/1/88,,,,,0.06,,2,28,19,21,,,,
USC00240780,"BIG TIMBER, MT US",1/2/88,,,,,0,0,2,31,25,27,,,,
USC00240780,"BIG TIMBER, MT US",1/3/88,,,,,0.01,,2,28,10,18,,,,
USC00240780,"BIG TIMBER, MT US",1/4/88,,,,,0,0,2,19,-10,10,,,,
USC00240780,"BIG TIMBER, MT US",1/5/88,,,,,0,0,2,11,-14,6,,,,
USC00240780,"BIG TIMBER, MT US",1/6/88,,,,,0,0,2,30,-11,24,,,,
USC00240780,"BIG TIMBER, MT US",1/7/88,,,,,0,0,2,26,0,19,,,,
USC00240780,"BIG TIMBER, MT US",1/8/88,,,,,0.11,,3,20,0,3,,,,
USC00240780,"BIG TIMBER, MT US",1/9/88,,,,,0,0,2,35,-10,32,,,,
USC00240780,"BIG TIMBER, MT US",1/10/88,,,,,0.31,,4,45,31,35,,,,
USC00240780,"BIG TIMBER, MT US",1/11/88,,,,,0.04,,2,37,20,30,,,,
USC00240780,"BIG TIMBER, MT US",1/12/88,,,,,0.01,,2,31,6,28,,,,
USC00240780,"BIG TIMBER, MT US",1/13/88,,,,,0,0,1,36,22,35,,,,
USC00240780,"BIG TIMBER, MT US",1/14/88,,,,,0,0,1,45,19,40,,,,
USC00240780,"BIG TIMBER, MT US",1/15/88,,,,,0,0,1,48,12,33,,,,
USC00240780,"BIG TIMBER, MT US",1/16/88,,,,,0,0,0,37,22,32,,,,
USC00240780,"BIG TIMBER, MT US",1/17/88,,,,,0,0,0,34,20,28,,,,
USC00240780,"BIG TIMBER, MT US",1/18/88,,,,,0,0,0,30,6,25,,,,
USC00240780,"BIG TIMBER, MT US",1/19/88,,,,,0,0,0,29,4,24,,,,
USC00240780,"BIG TIMBER, MT US",1/20/88,,,,,0,0,0,41,28,36,,,,
USC00240780,"BIG TIMBER, MT US",1/21/88,,,,,0,0,0,38,17,30,,,,
USC00240780,"BIG TIMBER, MT US",1/22/88,,,,,0,0,0,40,16,39,,,,
USC00240780,"BIG TIMBER, MT US",1/23/88,,,,,0,0,0,43,14,28,,,,
USC00240780,"BIG TIMBER, MT US",1/24/88,,,,,0,0,0,33,23,30,,,,
USC00240780,"BIG TIMBER, MT US",1/25/88,,,,,0,0,0,45,8,44,,,,
USC00240780,"BIG TIMBER, MT US",1/26/88,,,,,0,0,0,45,28,41,,,,
USC00240780,"BIG TIMBER, MT US",1/27/88,,,,,0,0,0,55,37,51,,,,
USC00240780,"BIG TIMBER, MT US",1/28/88,,,,,0,0,0,59,28,53,,,,
USC00240780,"BIG TIMBER, MT US",1/29/88,,,,,0,0,0,55,24,47,,,,
USC00240780,"BIG TIMBER, MT US",1/30/88,,,,,0,0,0,48,18,19,,,,
USC00240780,"BIG TIMBER, MT US",1/31/88,,,,,0,,0,20,-1,3,,,,
USC00240780,"BIG TIMBER, MT US",2/1/88,,,,,0.02,0.5,1,8,-7,7,,,,
USC00240780,"BIG TIMBER, MT US",2/2/88,,,,,0,0,1,30,-7,17,,,,
USC00240780,"BIG TIMBER, MT US",2/3/88,,,,,0,0,0,33,-13,32,,,,
USC00240780,"BIG TIMBER, MT US",2/4/88,,,,,0.21,4,4,32,4,5,,,,
USC00240780,"BIG TIMBER, MT US",2/5/88,,,,,0.13,2,5,8,-3,2,,,,
USC00240780,"BIG TIMBER, MT US",2/6/88,,,,,0,0,3,43,-12,41,,,,
USC00240780,"BIG TIMBER, MT US",2/7/88,,,,,0,0,,42,24,40,,,,
USC00240780,"BIG TIMBER, MT US",2/8/88,,,,,0,0,,42,28,37,,,,
USC00240780,"BIG TIMBER, MT US",2/9/88,,,,,0.22,3,3,37,4,7,,,,
USC00240780,"BIG TIMBER, MT US",2/10/88,,,,,0.05,0.5,3,9,-4,9,,,,
