STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/1/88,0.1,,,,,-8,7
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/2/88,0.2,,,,,-11,7
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/3/88,0,,,,,-8,7
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/4/88,0,,,,,2,7.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/5/88,0,,,,,12,7.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/6/88,0,,,,,7,7.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/7/88,0,,,,,10,7.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/8/88,0,,,,,14,7.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/9/88,0.3,,,,,22,7.8
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/10/88,0.8,,,,,9,8.9
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/11/88,0.2,,,,,8,9
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/12/88,0.1,,,,,9,9.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/13/88,0,,,,,18,9.2
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/14/88,0.5,,,,,24,9.7
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/15/88,0.4,,,,,3,10.2
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/16/88,0.1,,,,,6,10.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/17/88,0.1,,,,,-12,10.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/18/88,0.1,,,,,-9,10.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/19/88,0,,,,,2,10.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/20/88,0.3,,,,,10,11
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/21/88,0.1,,,,,3,11
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/22/88,0.2,,,,,11,11.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/23/88,0.1,,,,,2,11.5
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/24/88,0.1,,,,,18,11.5
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/25/88,0,,,,,8,11.5
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/26/88,0,,,,,14,11.5
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/27/88,0,,,,,22,11.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/28/88,0,,,,,24,11.4
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/29/88,0.2,,,,,17,11.6
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/30/88,0.2,,,,,5,11.8
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/31/88,0,,,,,-11,12.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/1/88,0.1,,,,,1,12.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/2/88,0,,,,,8,12.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/3/88,0.2,,,,,12,12.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/4/88,0,,,,,4,12.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/5/88,0,,,,,15,12.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/6/88,0,,,,,17,12.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/7/88,0.3,,,,,18,12.5
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/8/88,0.4,,,,,21,13
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/9/88,0.6,,,,,15,13.9
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/10/88,0.2,,,,,,14.2
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/11/88,0,,,,,,14.2
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/12/88,0.5,,,,,,14.8
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/13/88,0.2,,,,,,15.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/14/88,0.5,,,,,,15.8
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/15/88,0.2,,,,,9,16
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/16/88,0.1,,,,,4,16
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/17/88,0.3,,,,,14,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/18/88,0,,,,,13,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/19/88,0,,,,,16,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/20/88,0,,,,,15,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/21/88,0,,,,,7,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/22/88,0,,,,,-4,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/23/88,0,,,,,7,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/24/88,0.1,,,,,11,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/25/88,0,,,,,15,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/26/88,0,,,,,18,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/27/88,0,,,,,21,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/28/88,0.1,,,,,19,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",2/29/88,0,,,,,23,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",3/1/88,0,,,,,16,16.1
USS0013C03S,"SKALKAHO SUMMIT, MT US",3/2/88,0,,,,,25,16.3
USS0013C03S,"SKALKAHO SUMMIT, MT US",3/3/88,0.1,,,,,-1,16.3
