STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0012B17S,"WOOD CREEK, MT US",1/1/88,0,,,,,13,1.9
USS0012B17S,"WOOD CREEK, MT US",1/2/88,0,,,,,-2,1.9
USS0012B17S,"WOOD CREEK, MT US",1/3/88,0.1,,,,,-14,1.9
USS0012B17S,"WOOD CREEK, MT US",1/4/88,0,,,,,-16,2
USS0012B17S,"WOOD CREEK, MT US",1/5/88,0,,,,,0,2
USS0012B17S,"WOOD CREEK, MT US",1/6/88,0,,,,,10,2
USS0012B17S,"WOOD CREEK, MT US",1/7/88,0,,,,,-10,2
USS0012B17S,"WOOD CREEK, MT US",1/8/88,0.1,,,,,22,2
USS0012B17S,"WOOD CREEK, MT US",1/9/88,0,,,,,28,2
USS0012B17S,"WOOD CREEK, MT US",1/10/88,0.2,,,,,23,2.1
USS0012B17S,"WOOD CREEK, MT US",1/11/88,0.1,,,,,14,2.3
USS0012B17S,"WOOD CREEK, MT US",1/12/88,0,,,,,19,2.3
USS0012B17S,"WOOD CREEK, MT US",1/13/88,0,,,,,31,2.6
USS0012B17S,"WOOD CREEK, MT US",1/14/88,0.3,,,,,30,2.9
USS0012B17S,"WOOD CREEK, MT US",1/15/88,0.2,,,,,18,2.9
USS0012B17S,"WOOD CREEK, MT US",1/16/88,0,,,,,13,3
USS0012B17S,"WOOD CREEK, MT US",1/17/88,0,,,,,-6,3
USS0012B17S,"WOOD CREEK, MT US",1/18/88,0,,,,,-3,3
USS0012B17S,"WOOD CREEK, MT US",1/19/88,0,,,,,21,3.1
USS0012B17S,"WOOD CREEK, MT US",1/20/88,0,,,,,14,3.1
USS0012B17S,"WOOD CREEK, MT US",1/21/88,0,,,,,21,3.1
USS0012B17S,"WOOD CREEK, MT US",1/22/88,0.2,,,,,19,3.2
USS0012B17S,"WOOD CREEK, MT US",1/23/88,0.1,,,,,4,3.3
USS0012B17S,"WOOD CREEK, MT US",1/24/88,0,,,,,26,3.3
USS0012B17S,"WOOD CREEK, MT US",1/25/88,0,,,,,11,3.4
USS0012B17S,"WOOD CREEK, MT US",1/26/88,0,,,,,27,3.4
USS0012B17S,"WOOD CREEK, MT US",1/27/88,0,,,,,40,3.4
USS0012B17S,"WOOD CREEK, MT US",1/28/88,0,,,,,36,3.4
USS0012B17S,"WOOD CREEK, MT US",1/29/88,0.1,,,,,22,3.4
USS0012B17S,"WOOD CREEK, MT US",1/30/88,0.4,,,,,-11,3.7
USS0012B17S,"WOOD CREEK, MT US",1/31/88,0.2,,,,,-29,3.8
USS0012B17S,"WOOD CREEK, MT US",2/1/88,0,,,,,-6,3.9
USS0012B17S,"WOOD CREEK, MT US",2/2/88,0,,,,,13,3.9
USS0012B17S,"WOOD CREEK, MT US",2/3/88,0.2,,,,,-4,4
USS0012B17S,"WOOD CREEK, MT US",2/4/88,0.2,,,,,-14,4.1
USS0012B17S,"WOOD CREEK, MT US",2/5/88,0,,,,,25,4.1
USS0012B17S,"WOOD CREEK, MT US",2/6/88,0,,,,,25,4.1
USS0012B17S,"WOOD CREEK, MT US",2/7/88,0.3,,,,,20,4.4
USS0012B17S,"WOOD CREEK, MT US",2/8/88,0.6,,,,,-5,4.9
USS0012B17S,"WOOD CREEK, MT US",2/9/88,0.3,,,,,3,5.1
USS0012B17S,"WOOD CREEK, MT US",2/10/88,0,,,,,33,5.2
USS0012B17S,"WOOD CREEK, MT US",2/11/88,0,,,,,32,5.2
USS0012B17S,"WOOD CREEK, MT US",2/12/88,0,,,,,27,5.2
USS0012B17S,"WOOD CREEK, MT US",2/13/88,0,,,,,24,5.3
USS0012B17S,"WOOD CREEK, MT US",2/14/88,0.1,,,,,28,5.5
USS0012B17S,"WOOD CREEK, MT US",2/15/88,0.2,,,,,19,5.5
USS0012B17S,"WOOD CREEK, MT US",2/16/88,0,,,,,21,5.6
USS0012B17S,"WOOD CREEK, MT US",2/17/88,0,,,,,11,5.6
USS0012B17S,"WOOD CREEK, MT US",2/18/88,0.1,,,,,24,5.6
USS0012B17S,"WOOD CREEK, MT US",2/19/88,0,,,,,28,5.6
USS0012B17S,"WOOD CREEK, MT US",2/20/88,0,,,,,37,5.6
USS0012B17S,"WOOD CREEK, MT US",2/21/88,0.1,,,,,14,5.7
USS0012B17S,"WOOD CREEK, MT US",2/22/88,0.1,,,,,-1,5.8
USS0012B17S,"WOOD CREEK, MT US",2/23/88,0,,,,,5,5.9
USS0012B17S,"WOOD CREEK, MT US",2/24/88,0,,,,,34,5.9
USS0012B17S,"WOOD CREEK, MT US",2/25/88,0,,,,,26,5.9
USS0012B17S,"WOOD CREEK, MT US",2/26/88,0,,,,,27,5.9
USS0012B17S,"WOOD CREEK, MT US",2/27/88,0,,,,,17,5.9
USS0012B17S,"WOOD CREEK, MT US",2/28/88,0,,,,,21,5.9
USS0012B17S,"WOOD CREEK, MT US",2/29/88,0,,,,,23,5.9
USS0012B17S,"WOOD CREEK, MT US",3/1/88,0,,,,,20,5.9
USS0012B17S,"WOOD CREEK, MT US",3/2/88,0,,,,,33,5.9
USS0012B17S,"WOOD CREEK, MT US",3/3/88,0,,,,,25,5.9
USS0012B17S,"WOOD CREEK, MT US",3/4/88,0,,,,,31,6
USS0012B17S,"WOOD CREEK, MT US",3/5/88,0,,,,,31,6
USS0012B17S,"WOOD CREEK, MT US",3/6/88,0.1,,,,,19,6
USS0012B17S,"WOOD CREEK, MT US",3/7/88,0,,,,,26,6
USS0012B17S,"WOOD CREEK, MT US",3/8/88,0,,,,,33,6
USS0012B17S,"WOOD CREEK, MT US",3/9/88,0,,,,,19,6
USS0012B17S,"WOOD CREEK, MT US",3/10/88,0.2,,,,,17,6.1
USS0012B17S,"WOOD CREEK, MT US",3/11/88,0.2,,,,,1,6.2
USS0012B17S,"WOOD CREEK, MT US",3/12/88,0,,,,,13,6.2
USS0012B17S,"WOOD CREEK, MT US",3/13/88,0,,,,,27,6.3
USS0012B17S,"WOOD CREEK, MT US",3/14/88,0.5,,,,,16,6.5
USS0012B17S,"WOOD CREEK, MT US",3/15/88,0.1,,,,,11,6.6
USS0012B17S,"WOOD CREEK, MT US",3/16/88,0,,,,,3,6.7
USS0012B17S,"WOOD CREEK, MT US",3/17/88,0,,,,,19,6.7
USS0012B17S,"WOOD CREEK, MT US",3/18/88,0,,,,,38,6.7
USS0012B17S,"WOOD CREEK, MT US",3/19/88,0,,,,,39,6.7
USS0012B17S,"WOOD CREEK, MT US",3/20/88,0,,,,,32,6.7
USS0012B17S,"WOOD CREEK, MT US",3/21/88,0,,,,,24,6.7
USS0012B17S,"WOOD CREEK, MT US",3/22/88,0.1,,,,,30,6.7
USS0012B17S,"WOOD CREEK, MT US",3/23/88,0.3,,,,,21,6.9
USS0012B17S,"WOOD CREEK, MT US",3/24/88,0.1,,,,,23,7.1
USS0012B17S,"WOOD CREEK, MT US",3/25/88,0.1,,,,,34,7.2
USS0012B17S,"WOOD CREEK, MT US",3/26/88,0.5,,,,,17,7.4
USS0012B17S,"WOOD CREEK, MT US",3/27/88,0.1,,,,,17,7.4
USS0012B17S,"WOOD CREEK, MT US",3/28/88,0,,,,,17,7.5
USS0012B17S,"WOOD CREEK, MT US",3/29/88,0.1,,,,,13,7.5
USS0012B17S,"WOOD CREEK, MT US",3/30/88,0,,,,,24,7.5
USS0012B17S,"WOOD CREEK, MT US",3/31/88,0,,,,,27,7.5
USS0012B17S,"WOOD CREEK, MT US",4/1/88,0,,,,,38,7.5
USS0012B17S,"WOOD CREEK, MT US",4/2/88,0,,,,,36,7.5
USS0012B17S,"WOOD CREEK, MT US",4/3/88,0.1,,,,,22,7.5
USS0012B17S,"WOOD CREEK, MT US",4/4/88,0.1,,,,,18,7.5
USS0012B17S,"WOOD CREEK, MT US",4/5/88,0,,,,,42,7.6
USS0012B17S,"WOOD CREEK, MT US",4/6/88,0.1,,,,,33,7.6
USS0012B17S,"WOOD CREEK, MT US",4/7/88,0,,,,,22,7.5
USS0012B17S,"WOOD CREEK, MT US",4/8/88,0.1,,,,,7,7.5
USS0012B17S,"WOOD CREEK, MT US",4/9/88,0,,,,,20,7.3
USS0012B17S,"WOOD CREEK, MT US",4/10/88,0,,,,,41,7.2
USS0012B17S,"WOOD CREEK, MT US",4/11/88,0,,,,,30,7.2
USS0012B17S,"WOOD CREEK, MT US",4/12/88,0,,,,,27,7.2
USS0012B17S,"WOOD CREEK, MT US",4/13/88,0,,,,,27,7.1
USS0012B17S,"WOOD CREEK, MT US",4/14/88,0,,,,,27,6.9
USS0012B17S,"WOOD CREEK, MT US",4/15/88,0,,,,,34,6.6
USS0012B17S,"WOOD CREEK, MT US",4/16/88,0,,,,,36,6.2
USS0012B17S,"WOOD CREEK, MT US",4/17/88,0,,,,,35,5.9
USS0012B17S,"WOOD CREEK, MT US",4/18/88,0,,,,,29,5.7
USS0012B17S,"WOOD CREEK, MT US",4/19/88,0,,,,,31,5.5
USS0012B17S,"WOOD CREEK, MT US",4/20/88,0,,,,,28,5.4
USS0012B17S,"WOOD CREEK, MT US",4/21/88,0.3,,,,,27,5.4
USS0012B17S,"WOOD CREEK, MT US",4/22/88,0.1,,,,,20,5.4
USS0012B17S,"WOOD CREEK, MT US",4/23/88,0.1,,,,,33,5.4
USS0012B17S,"WOOD CREEK, MT US",4/24/88,0,,,,,20,5.4
USS0012B17S,"WOOD CREEK, MT US",4/25/88,0.1,,,,,25,5.4
USS0012B17S,"WOOD CREEK, MT US",4/26/88,0,,,,,18,5.4
USS0012B17S,"WOOD CREEK, MT US",4/27/88,0,,,,,29,5.3
USS0012B17S,"WOOD CREEK, MT US",4/28/88,0,,,,,36,5.1
USS0012B17S,"WOOD CREEK, MT US",4/29/88,0,,,,,27,4.8
USS0012B17S,"WOOD CREEK, MT US",4/30/88,0,,,,,24,4.6
USS0012B17S,"WOOD CREEK, MT US",5/1/88,0,,,,,27,4.3
USS0012B17S,"WOOD CREEK, MT US",5/2/88,0,,,,,29,4.2
USS0012B17S,"WOOD CREEK, MT US",5/3/88,0,,,,,27,4.1
USS0012B17S,"WOOD CREEK, MT US",5/4/88,0.2,,,,,32,4
USS0012B17S,"WOOD CREEK, MT US",5/5/88,0,,,,,36,3.5
USS0012B17S,"WOOD CREEK, MT US",5/6/88,0.8,,,,,32,3.2
USS0012B17S,"WOOD CREEK, MT US",5/7/88,0.1,,,,,29,3.2
USS0012B17S,"WOOD CREEK, MT US",5/8/88,0,,,,,35,2.7
USS0012B17S,"WOOD CREEK, MT US",5/9/88,0,,,,,33,2
