STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00242793,"ENNIS, MT US",1/1/88,,,,,0,,,22,-9,11,,,,,,
USC00242793,"ENNIS, MT US",1/2/88,,,,,0,,,14,-1,12,,,,,,
USC00242793,"ENNIS, MT US",1/3/88,,,,,0,,,13,-8,-2,,,,,,
USC00242793,"ENNIS, MT US",1/4/88,,,,,0,,,2,-15,-5,,,,,,
USC00242793,"ENNIS, MT US",1/5/88,,,,,0,,,14,3,12,,,,,,
USC00242793,"ENNIS, MT US",1/6/88,,,,,0,,,14,-5,12,,,,,,
USC00242793,"ENNIS, MT US",1/7/88,,,,,0,,,22,10,20,,,,,,
USC00242793,"ENNIS, MT US",1/8/88,,,,,0,,,25,10,14,,,,,,
USC00242793,"ENNIS, MT US",1/9/88,,,,,0.03,,,36,10,29,,,,,,
USC00242793,"ENNIS, MT US",1/10/88,,,,,0,,,45,29,41,,,,,,
USC00242793,"ENNIS, MT US",1/11/88,,,,,0.03,,,40,27,28,,,,,,
USC00242793,"ENNIS, MT US",1/12/88,,,,,0,,,33,19,22,,,,,,
USC00242793,"ENNIS, MT US",1/13/88,,,,,0,,,34,19,29,,,,,,
USC00242793,"ENNIS, MT US",1/14/88,,,,,0,,,38,26,36,,,,,,
USC00242793,"ENNIS, MT US",1/15/88,,,,,0.07,,,42,26,27,,,,,,
USC00242793,"ENNIS, MT US",1/16/88,,,,,0,,,31,13,24,,,,,,
USC00242793,"ENNIS, MT US",1/17/88,,,,,0.01,,,31,20,21,,,,,,
USC00242793,"ENNIS, MT US",1/18/88,,,,,0,,,20,-5,3,,,,,,
USC00242793,"ENNIS, MT US",1/19/88,,,,,0,,,12,-13,3,,,,,,
USC00242793,"ENNIS, MT US",1/20/88,,,,,0,,,25,2,22,,,,,,
USC00242793,"ENNIS, MT US",1/21/88,,,,,0,,,34,17,20,,,,,,
USC00242793,"ENNIS, MT US",1/22/88,,,,,0,,,27,10,25,,,,,,
USC00242793,"ENNIS, MT US",1/23/88,,,,,0,,,36,24,26,,,,,,
USC00242793,"ENNIS, MT US",1/24/88,,,,,0,,,32,7,22,,,,,,
USC00242793,"ENNIS, MT US",1/25/88,,,,,0,,,35,17,29,,,,,,
USC00242793,"ENNIS, MT US",1/26/88,,,,,0,,,39,17,33,,,,,,
USC00242793,"ENNIS, MT US",1/27/88,,,,,0,,,49,32,40,,,,,,
USC00242793,"ENNIS, MT US",1/28/88,,,,,0,,,50,35,45,,,,,,
USC00242793,"ENNIS, MT US",1/29/88,,,,,0,,,45,39,40,,,,,,
USC00242793,"ENNIS, MT US",1/30/88,,,,,0.03,,,40,24,25,,,,,,
USC00242793,"ENNIS, MT US",1/31/88,,,,,0,,,8,-10,5,,,,,,
USC00242793,"ENNIS, MT US",2/1/88,,,,,0.01,,,24,-5,13,,,,,,
USC00242793,"ENNIS, MT US",2/2/88,,,,,0,,,30,5,20,,,,,,
USC00242793,"ENNIS, MT US",2/3/88,,,,,0,,,36,7,23,,,,,,
USC00242793,"ENNIS, MT US",2/4/88,,,,,0,,,35,20,32,,,,,,
USC00242793,"ENNIS, MT US",2/5/88,,,,,0,,,38,7,31,,,,,,
USC00242793,"ENNIS, MT US",2/6/88,,,,,0,,,44,25,37,,,,,,
USC00242793,"ENNIS, MT US",2/7/88,,,,,0,,,42,22,38,,,,,,
USC00242793,"ENNIS, MT US",2/8/88,,,,,0,,,44,30,37,,,,,,
USC00242793,"ENNIS, MT US",2/9/88,,,,,0.05,,,44,33,35,,,,,,
USC00242793,"ENNIS, MT US",2/10/88,,,,,0.03,,,41,19,34,,,,,,
USC00242793,"ENNIS, MT US",2/11/88,,,,,0,,,47,33,38,,,,,,
USC00242793,"ENNIS, MT US",2/12/88,,,,,0.1,,,41,23,30,,,,,,
USC00242793,"ENNIS, MT US",2/13/88,,,,,0,,,40,30,31,,,,,,
USC00242793,"ENNIS, MT US",2/14/88,,,,,0,,,37,18,33,,,,,,
USC00242793,"ENNIS, MT US",2/15/88,,,,,0.04,,,40,30,33,,,,,,
USC00242793,"ENNIS, MT US",2/16/88,,,,,0,,,35,20,25,,,,,,
USC00242793,"ENNIS, MT US",2/17/88,,,,,0,,,36,15,28,,,,,,
USC00242793,"ENNIS, MT US",2/18/88,,,,,0,,,39,20,31,,,,,,
USC00242793,"ENNIS, MT US",2/19/88,,,,,0,,,43,18,40,,,,,,
USC00242793,"ENNIS, MT US",2/20/88,,,,,0,,,50,26,40,,,,,,
USC00242793,"ENNIS, MT US",2/21/88,,,,,0,,,57,26,48,,,,,,
USC00242793,"ENNIS, MT US",2/22/88,,,,,0,,,45,15,22,,,,,,
USC00242793,"ENNIS, MT US",2/23/88,,,,,0,,,40,7,28,,,,,,
USC00242793,"ENNIS, MT US",2/24/88,,,,,0,,,52,12,38,,,,,,
USC00242793,"ENNIS, MT US",2/25/88,,,,,0,,,60,19,44,,,,,,
USC00242793,"ENNIS, MT US",2/26/88,,,,,0,,,58,18,45,,,,,,
USC00242793,"ENNIS, MT US",2/27/88,,,,,0,,,65,17,49,,,,,,
USC00242793,"ENNIS, MT US",2/28/88,,,,,0,,,55,26,47,,,,,,
USC00242793,"ENNIS, MT US",2/29/88,,,,,0,,,59,28,50,,,,,,
USC00242793,"ENNIS, MT US",3/1/88,,,,,0,,,45,27,36,,,,,,
USC00242793,"ENNIS, MT US",3/2/88,,,,,0,,,51,22,41,,,,,,
USC00242793,"ENNIS, MT US",3/3/88,,,,,0,,,48,28,35,,,,,,
USC00242793,"ENNIS, MT US",3/4/88,,,,,0,,,45,17,38,,,,,,
USC00242793,"ENNIS, MT US",3/5/88,,,,,0,,,53,30,45,,,,,,
USC00242793,"ENNIS, MT US",3/6/88,,,,,0,,,45,28,31,,,,,,
