STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0010C09S,"DEADMAN CREEK, MT US",1/1/88,0,,,,,4,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/2/88,0,,,,,-3,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/3/88,0.1,,,,,-28,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/4/88,0,,,,,-23,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/5/88,0,,,,,-15,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/6/88,0,,,,,9,2.5
USS0010C09S,"DEADMAN CREEK, MT US",1/7/88,0.1,,,,,-15,2.7
USS0010C09S,"DEADMAN CREEK, MT US",1/8/88,0,,,,,12,2.8
USS0010C09S,"DEADMAN CREEK, MT US",1/9/88,0.1,,,,,21,3
USS0010C09S,"DEADMAN CREEK, MT US",1/10/88,0.1,,,,,22,3.4
USS0010C09S,"DEADMAN CREEK, MT US",1/11/88,0.5,,,,,8,3.8
USS0010C09S,"DEADMAN CREEK, MT US",1/12/88,0.1,,,,,-4,3.9
USS0010C09S,"DEADMAN CREEK, MT US",1/13/88,0.1,,,,,20,4
USS0010C09S,"DEADMAN CREEK, MT US",1/14/88,0.1,,,,,32,4
USS0010C09S,"DEADMAN CREEK, MT US",1/15/88,0,,,,,-6,4.1
USS0010C09S,"DEADMAN CREEK, MT US",1/16/88,0.1,,,,,7,4.2
USS0010C09S,"DEADMAN CREEK, MT US",1/17/88,0.3,,,,,-22,4.3
USS0010C09S,"DEADMAN CREEK, MT US",1/18/88,0,,,,,-27,4.3
USS0010C09S,"DEADMAN CREEK, MT US",1/19/88,0,,,,,-14,4.3
USS0010C09S,"DEADMAN CREEK, MT US",1/20/88,0.1,,,,,14,4.5
USS0010C09S,"DEADMAN CREEK, MT US",1/21/88,0,,,,,11,4.5
USS0010C09S,"DEADMAN CREEK, MT US",1/22/88,0.2,,,,,16,4.8
USS0010C09S,"DEADMAN CREEK, MT US",1/23/88,0.1,,,,,0,4.8
USS0010C09S,"DEADMAN CREEK, MT US",1/24/88,0.2,,,,,16,5
USS0010C09S,"DEADMAN CREEK, MT US",1/25/88,0.1,,,,,-4,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/26/88,0,,,,,23,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/27/88,0,,,,,17,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/28/88,0,,,,,33,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/29/88,0,,,,,24,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/30/88,0.2,,,,,-12,5.2
USS0010C09S,"DEADMAN CREEK, MT US",1/31/88,0.3,,,,,-36,5.2
USS0010C09S,"DEADMAN CREEK, MT US",2/1/88,0.1,,,,,-6,5.2
USS0010C09S,"DEADMAN CREEK, MT US",2/2/88,0,,,,,7,5.3
USS0010C09S,"DEADMAN CREEK, MT US",2/3/88,0.2,,,,,4,5.6
USS0010C09S,"DEADMAN CREEK, MT US",2/4/88,0.3,,,,,-5,5.9
USS0010C09S,"DEADMAN CREEK, MT US",2/5/88,0,,,,,8,6
USS0010C09S,"DEADMAN CREEK, MT US",2/6/88,0,,,,,18,6.1
USS0010C09S,"DEADMAN CREEK, MT US",2/7/88,0,,,,,18,6.2
USS0010C09S,"DEADMAN CREEK, MT US",2/8/88,0.4,,,,,25,6.6
USS0010C09S,"DEADMAN CREEK, MT US",2/9/88,0.2,,,,,4,6.6
USS0010C09S,"DEADMAN CREEK, MT US",2/10/88,0.1,,,,,26,6.8
USS0010C09S,"DEADMAN CREEK, MT US",2/11/88,0,,,,,26,6.9
USS0010C09S,"DEADMAN CREEK, MT US",2/12/88,0,,,,,24,6.9
USS0010C09S,"DEADMAN CREEK, MT US",2/13/88,0.1,,,,,16,7
USS0010C09S,"DEADMAN CREEK, MT US",2/14/88,0.1,,,,,27,7.2
USS0010C09S,"DEADMAN CREEK, MT US",2/15/88,0.1,,,,,13,7.2
USS0010C09S,"DEADMAN CREEK, MT US",2/16/88,0.1,,,,,13,7.3
USS0010C09S,"DEADMAN CREEK, MT US",2/17/88,0.1,,,,,16,7.4
USS0010C09S,"DEADMAN CREEK, MT US",2/18/88,0,,,,,-4,7.5
USS0010C09S,"DEADMAN CREEK, MT US",2/19/88,0,,,,,22,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/20/88,0,,,,,19,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/21/88,0.1,,,,,10,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/22/88,0.1,,,,,2,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/23/88,0,,,,,-8,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/24/88,0.1,,,,,-3,7.7
USS0010C09S,"DEADMAN CREEK, MT US",2/25/88,0,,,,,5,7.7
USS0010C09S,"DEADMAN CREEK, MT US",2/26/88,0,,,,,6,7.6
USS0010C09S,"DEADMAN CREEK, MT US",2/27/88,0,,,,,7,7.6
