STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0015C10S,"HOODOO BASIN, MT US",1/1/88,0.1,,15,19,12,11,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/2/88,0,,11,16,7,8,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/3/88,0.1,,9,16,5,4,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/4/88,0,,6,11,3,6,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/5/88,0,,11,20,4,20,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/6/88,0,,20,22,18,20,11.2
USS0015C10S,"HOODOO BASIN, MT US",1/7/88,0,,19,22,18,18,11.3
USS0015C10S,"HOODOO BASIN, MT US",1/8/88,0.2,,20,24,16,21,11.6
USS0015C10S,"HOODOO BASIN, MT US",1/9/88,0.5,,23,29,20,27,12.3
USS0015C10S,"HOODOO BASIN, MT US",1/10/88,1,,27,30,24,19,13.5
USS0015C10S,"HOODOO BASIN, MT US",1/11/88,0.3,,20,30,17,19,13.7
USS0015C10S,"HOODOO BASIN, MT US",1/12/88,0.2,,18,21,15,19,13.9
USS0015C10S,"HOODOO BASIN, MT US",1/13/88,0.4,,22,25,18,27,14.4
USS0015C10S,"HOODOO BASIN, MT US",1/14/88,1.4,,30,34,25,28,16.8
USS0015C10S,"HOODOO BASIN, MT US",1/15/88,0.5,,25,34,19,18,17.3
USS0015C10S,"HOODOO BASIN, MT US",1/16/88,0.2,,20,23,18,18,17.5
USS0015C10S,"HOODOO BASIN, MT US",1/17/88,0.1,,17,23,8,8,17.5
USS0015C10S,"HOODOO BASIN, MT US",1/18/88,0.9,,11,28,6,7,17.5
USS0015C10S,"HOODOO BASIN, MT US",1/19/88,0,,11,17,6,17,17.5
USS0015C10S,"HOODOO BASIN, MT US",1/20/88,0.4,,19,24,15,19,18.1
USS0015C10S,"HOODOO BASIN, MT US",1/21/88,0.1,,19,21,17,18,18.1
USS0015C10S,"HOODOO BASIN, MT US",1/22/88,0,,23,28,16,20,18.3
USS0015C10S,"HOODOO BASIN, MT US",1/23/88,0,,20,24,18,16,18.3
