STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0012B12S,"MOUNT LOCKHART, MT US",1/1/88,0,,,,,5,5.4
USS0012B12S,"MOUNT LOCKHART, MT US",1/2/88,0.1,,,,,-2,5.5
USS0012B12S,"MOUNT LOCKHART, MT US",1/3/88,0,,,,,-13,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/4/88,0,,,,,-14,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/5/88,0,,,,,1,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/6/88,0,,,,,9,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/7/88,0,,,,,-7,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/8/88,0,,,,,13,5.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/9/88,0.2,,,,,,5.8
USS0012B12S,"MOUNT LOCKHART, MT US",1/10/88,0.7,,,,,17,6.5
USS0012B12S,"MOUNT LOCKHART, MT US",1/11/88,0.4,,,,,10,6.9
USS0012B12S,"MOUNT LOCKHART, MT US",1/12/88,0,,,,,14,6.9
USS0012B12S,"MOUNT LOCKHART, MT US",1/13/88,0.2,,,,,25,7.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/14/88,0.8,,,,,26,7.9
USS0012B12S,"MOUNT LOCKHART, MT US",1/15/88,0.4,,,,,11,8.3
USS0012B12S,"MOUNT LOCKHART, MT US",1/16/88,0.1,,,,,10,8.4
USS0012B12S,"MOUNT LOCKHART, MT US",1/17/88,0,,,,,-1,8.4
USS0012B12S,"MOUNT LOCKHART, MT US",1/18/88,0,,,,,6,8.4
USS0012B12S,"MOUNT LOCKHART, MT US",1/19/88,0,,,,,16,8.4
USS0012B12S,"MOUNT LOCKHART, MT US",1/20/88,0.2,,,,,13,8.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/21/88,0,,,,,19,8.6
USS0012B12S,"MOUNT LOCKHART, MT US",1/22/88,0.5,,,,,14,9
USS0012B12S,"MOUNT LOCKHART, MT US",1/23/88,0,,,,,2,9.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/24/88,0,,,,,18,9.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/25/88,0,,,,,11,9.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/26/88,0,,,,,31,9.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/27/88,0,,,,,34,9.1
USS0012B12S,"MOUNT LOCKHART, MT US",1/28/88,0.1,,,,,28,9.2
USS0012B12S,"MOUNT LOCKHART, MT US",1/29/88,0.2,,,,,20,9.5
USS0012B12S,"MOUNT LOCKHART, MT US",1/30/88,0.2,,,,,-19,9.7
USS0012B12S,"MOUNT LOCKHART, MT US",1/31/88,0,,,,,,9.7
USS0012B12S,"MOUNT LOCKHART, MT US",2/1/88,0,,,,,,9.7
USS0012B12S,"MOUNT LOCKHART, MT US",2/2/88,0.2,,,,,9,10
USS0012B12S,"MOUNT LOCKHART, MT US",2/3/88,0.3,,,,,-8,10.1
USS0012B12S,"MOUNT LOCKHART, MT US",2/4/88,0.1,,,,,-12,10.3
USS0012B12S,"MOUNT LOCKHART, MT US",2/5/88,0,,,,,19,10.3
USS0012B12S,"MOUNT LOCKHART, MT US",2/6/88,0,,,,,20,10.3
USS0012B12S,"MOUNT LOCKHART, MT US",2/7/88,0.3,,,,,16,10.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/8/88,0.5,,,,,-7,11
USS0012B12S,"MOUNT LOCKHART, MT US",2/9/88,0.5,,,,,15,11.4
USS0012B12S,"MOUNT LOCKHART, MT US",2/10/88,0.1,,,,,30,11.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/11/88,0,,,,,,11.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/12/88,0.2,,,,,,11.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/13/88,0.1,,,,,,11.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/14/88,0.8,,,,,,11.6
USS0012B12S,"MOUNT LOCKHART, MT US",2/15/88,0,,,,,,12.7
USS0012B12S,"MOUNT LOCKHART, MT US",2/16/88,0,,,,,15,12.7
USS0012B12S,"MOUNT LOCKHART, MT US",2/17/88,0.2,,,,,7,12.8
USS0012B12S,"MOUNT LOCKHART, MT US",2/18/88,0,,,,,18,12.8
USS0012B12S,"MOUNT LOCKHART, MT US",2/19/88,0,,,,,22,12.9
USS0012B12S,"MOUNT LOCKHART, MT US",2/20/88,0,,,,,32,12.9
USS0012B12S,"MOUNT LOCKHART, MT US",2/21/88,0.3,,,,,9,13.1
USS0012B12S,"MOUNT LOCKHART, MT US",2/22/88,0,,,,,5,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/23/88,0,,,,,11,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/24/88,0,,,,,29,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/25/88,0,,,,,28,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/26/88,0,,,,,32,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/27/88,0,,,,,13,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/28/88,0,,,,,29,13.2
USS0012B12S,"MOUNT LOCKHART, MT US",2/29/88,0.2,,,,,17,13.3
USS0012B12S,"MOUNT LOCKHART, MT US",3/1/88,0,,,,,26,13.4
USS0012B12S,"MOUNT LOCKHART, MT US",3/2/88,0,,,,,27,13.4
USS0012B12S,"MOUNT LOCKHART, MT US",3/3/88,0.1,,,,,19,13.5
USS0012B12S,"MOUNT LOCKHART, MT US",3/4/88,0,,,,,24,13.5
USS0012B12S,"MOUNT LOCKHART, MT US",3/5/88,0,,,,,24,13.6
USS0012B12S,"MOUNT LOCKHART, MT US",3/6/88,0.4,,,,,13,13.8
USS0012B12S,"MOUNT LOCKHART, MT US",3/7/88,0,,,,,23,13.8
USS0012B12S,"MOUNT LOCKHART, MT US",3/8/88,0,,,,,27,13.8
USS0012B12S,"MOUNT LOCKHART, MT US",3/9/88,0.2,,,,,14,14
USS0012B12S,"MOUNT LOCKHART, MT US",3/10/88,0.7,,,,,10,14.6
USS0012B12S,"MOUNT LOCKHART, MT US",3/11/88,0.2,,,,,1,14.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/12/88,0,,,,,15,14.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/13/88,0,,,,,19,14.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/14/88,1,,,,,10,15.8
USS0012B12S,"MOUNT LOCKHART, MT US",3/15/88,0.1,,,,,7,15.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/16/88,0,,,,,2,15.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/17/88,0,,,,,17,15.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/18/88,0,,,,,33,15.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/19/88,0,,,,,33,15.9
USS0012B12S,"MOUNT LOCKHART, MT US",3/20/88,0,,,,,25,16
USS0012B12S,"MOUNT LOCKHART, MT US",3/21/88,0,,,,,17,16.1
USS0012B12S,"MOUNT LOCKHART, MT US",3/22/88,0.2,,,,,24,16.3
USS0012B12S,"MOUNT LOCKHART, MT US",3/23/88,0.7,,,,,17,16.8
USS0012B12S,"MOUNT LOCKHART, MT US",3/24/88,0.1,,,,,17,17.1
USS0012B12S,"MOUNT LOCKHART, MT US",3/25/88,0.2,,,,,29,17.3
USS0012B12S,"MOUNT LOCKHART, MT US",3/26/88,1.3,,,,,11,17.6
USS0012B12S,"MOUNT LOCKHART, MT US",3/27/88,0.2,,,,,9,18.3
USS0012B12S,"MOUNT LOCKHART, MT US",3/28/88,0.8,,,,,10,18.6
USS0012B12S,"MOUNT LOCKHART, MT US",3/29/88,0.2,,,,,6,19
USS0012B12S,"MOUNT LOCKHART, MT US",3/30/88,0,,,,,17,19.1
USS0012B12S,"MOUNT LOCKHART, MT US",3/31/88,0,,,,,26,19.1
USS0012B12S,"MOUNT LOCKHART, MT US",4/1/88,0,,,,,33,19.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/2/88,0,,,,,28,19.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/3/88,0.3,,,,,16,19.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/4/88,0.2,,,,,14,20.1
USS0012B12S,"MOUNT LOCKHART, MT US",4/5/88,0,,,,,31,20.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/6/88,0,,,,,24,19.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/7/88,0.3,,,,,15,19.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/8/88,0,,,,,2,19.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/9/88,0,,,,,29,19.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/10/88,0,,,,,37,19.6
USS0012B12S,"MOUNT LOCKHART, MT US",4/11/88,0,,,,,22,19.6
USS0012B12S,"MOUNT LOCKHART, MT US",4/12/88,0,,,,,20,19.6
USS0012B12S,"MOUNT LOCKHART, MT US",4/13/88,0,,,,,23,19.6
USS0012B12S,"MOUNT LOCKHART, MT US",4/14/88,0,,,,,25,19.6
USS0012B12S,"MOUNT LOCKHART, MT US",4/15/88,0,,,,,28,19.1
USS0012B12S,"MOUNT LOCKHART, MT US",4/16/88,0,,,,,24,18.8
USS0012B12S,"MOUNT LOCKHART, MT US",4/17/88,0,,,,,30,18.5
USS0012B12S,"MOUNT LOCKHART, MT US",4/18/88,0,,,,,28,18.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/19/88,0,,,,,22,18.1
USS0012B12S,"MOUNT LOCKHART, MT US",4/20/88,0.2,,,,,24,18.1
USS0012B12S,"MOUNT LOCKHART, MT US",4/21/88,0.3,,,,,22,18.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/22/88,0,,,,,23,18.3
USS0012B12S,"MOUNT LOCKHART, MT US",4/23/88,0,,,,,,18.3
