STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT05,WT06,WT11
USC00248809,"WEST GLACIER, MT US",1/1/88,,,0,0,8,21,10,20,,,,,,
USC00248809,"WEST GLACIER, MT US",1/2/88,,,0,0,8,25,16,23,,,,,,
USC00248809,"WEST GLACIER, MT US",1/3/88,,,0,0,8,24,12,17,,,,,,
USC00248809,"WEST GLACIER, MT US",1/4/88,,,0,0,7,18,0,13,,,,,,
USC00248809,"WEST GLACIER, MT US",1/5/88,,,0,0,7,8,-13,7,,,,,,
USC00248809,"WEST GLACIER, MT US",1/6/88,,,0,0,7,12,-8,11,,,,,,
USC00248809,"WEST GLACIER, MT US",1/7/88,,,0,0,7,19,9,17,,,,,,
USC00248809,"WEST GLACIER, MT US",1/8/88,,,0,0,7,20,-6,14,,,,,,
USC00248809,"WEST GLACIER, MT US",1/9/88,,,0.02,1,8,24,11,22,,,,,,
USC00248809,"WEST GLACIER, MT US",1/10/88,,,0.11,2,9,34,21,32,,,,,,
USC00248809,"WEST GLACIER, MT US",1/11/88,,,0.34,4,12,33,26,26,,,,,,
USC00248809,"WEST GLACIER, MT US",1/12/88,,,0.03,1,13,27,19,26,,,,,,
USC00248809,"WEST GLACIER, MT US",1/13/88,,,0.2,5,15,29,20,29,,,,,,
USC00248809,"WEST GLACIER, MT US",1/14/88,,,0.63,3,14,33,27,32,,,,,,
USC00248809,"WEST GLACIER, MT US",1/15/88,,,0.36,0,10,37,32,34,,,,,,
USC00248809,"WEST GLACIER, MT US",1/16/88,,,0,0,10,35,27,34,,,,,,
USC00248809,"WEST GLACIER, MT US",1/17/88,,,0.07,2,12,35,19,29,,,,,,
USC00248809,"WEST GLACIER, MT US",1/18/88,,,0,0,12,30,13,22,,,,,,
USC00248809,"WEST GLACIER, MT US",1/19/88,,,0,0,12,25,10,18,,,,,,
USC00248809,"WEST GLACIER, MT US",1/20/88,,,0,0,12,27,19,25,,,,,,
USC00248809,"WEST GLACIER, MT US",1/21/88,,,0.04,1,13,33,23,32,,,,,,
USC00248809,"WEST GLACIER, MT US",1/22/88,,,0,0,13,33,20,30,,,,,,
USC00248809,"WEST GLACIER, MT US",1/23/88,,,0.02,0.5,13,36,23,35,,,,,,
USC00248809,"WEST GLACIER, MT US",1/24/88,,,0,0,12,35,4,25,,,,,,
USC00248809,"WEST GLACIER, MT US",1/25/88,,,0.04,0.5,13,35,20,34,,,,,,
USC00248809,"WEST GLACIER, MT US",1/26/88,,,0,0,13,35,11,30,,,,,,
USC00248809,"WEST GLACIER, MT US",1/27/88,,,0,0,12,40,16,37,,,,,,
USC00248809,"WEST GLACIER, MT US",1/28/88,,,0,0,11,40,31,36,,,,,,
USC00248809,"WEST GLACIER, MT US",1/29/88,,,0,0,10,44,32,40,,,,,,
USC00248809,"WEST GLACIER, MT US",1/30/88,,,0.08,0,10,40,28,30,,,,,,
USC00248809,"WEST GLACIER, MT US",1/31/88,,,0,0,10,30,5,13,,,,,,
USC00248809,"WEST GLACIER, MT US",2/1/88,,,0,0,10,15,-12,11,,,,,,
USC00248809,"WEST GLACIER, MT US",2/2/88,,,0,0,10,20,-1,18,,,,,,
USC00248809,"WEST GLACIER, MT US",2/3/88,,,0.32,4,14,27,14,25,,,,,,
USC00248809,"WEST GLACIER, MT US",2/4/88,,,0.02,0,13,26,12,24,,,,,,
USC00248809,"WEST GLACIER, MT US",2/5/88,,,0,0,12,25,8,22,,,,,,
USC00248809,"WEST GLACIER, MT US",2/6/88,,,0,0,12,30,9,28,,,,,,
USC00248809,"WEST GLACIER, MT US",2/7/88,,,0.51,6,18,35,26,34,,,,,,
USC00248809,"WEST GLACIER, MT US",2/8/88,,,0,0,17,37,21,35,,,,,,
USC00248809,"WEST GLACIER, MT US",2/9/88,,,0.54,7,22,35,15,21,,,,,,
USC00248809,"WEST GLACIER, MT US",2/10/88,,,0.14,2,22,28,12,26,,,,,,
USC00248809,"WEST GLACIER, MT US",2/11/88,,,0.21,0,20,38,25,36,,,,,,
USC00248809,"WEST GLACIER, MT US",2/12/88,,,0,0,17,48,31,44,,,,,,
USC00248809,"WEST GLACIER, MT US",2/13/88,,,0.02,0,15,45,32,38,,,,,,
USC00248809,"WEST GLACIER, MT US",2/14/88,,,0.02,0,15,39,30,35,,,,,,
USC00248809,"WEST GLACIER, MT US",2/15/88,,,0.47,0,15,37,31,34,,,,,,
USC00248809,"WEST GLACIER, MT US",2/16/88,,,0.02,0,15,38,29,36,,,,,,
USC00248809,"WEST GLACIER, MT US",2/17/88,,,0.05,1,16,36,30,31,,,,,,
USC00248809,"WEST GLACIER, MT US",2/18/88,,,0.08,2,16,35,26,32,,,,,,
USC00248809,"WEST GLACIER, MT US",2/19/88,,,0,0,16,35,29,34,,,,,,
USC00248809,"WEST GLACIER, MT US",2/20/88,,,0,0,15,44,27,43,,,,,,
USC00248809,"WEST GLACIER, MT US",2/21/88,,,0,0,14,51,25,45,,,,,,
USC00248809,"WEST GLACIER, MT US",2/22/88,,,0.01,0,14,45,25,35,,,,,,
USC00248809,"WEST GLACIER, MT US",2/23/88,,,0,0,14,37,9,35,,,,,,
USC00248809,"WEST GLACIER, MT US",2/24/88,,,0,0,14,40,9,38,,,,,,
USC00248809,"WEST GLACIER, MT US",2/25/88,,,0,0,14,45,10,44,,,,,,
USC00248809,"WEST GLACIER, MT US",2/26/88,,,0,0,14,52,16,48,,,,,,
USC00248809,"WEST GLACIER, MT US",2/27/88,,,0,0,14,50,18,44,,,,,,
USC00248809,"WEST GLACIER, MT US",2/28/88,,,0,0,14,49,23,45,,,,,,
USC00248809,"WEST GLACIER, MT US",2/29/88,,,0,0,14,46,20,41,,,,,,
USC00248809,"WEST GLACIER, MT US",3/1/88,,,0.01,0,13,44,32,41,,,,,,
USC00248809,"WEST GLACIER, MT US",3/2/88,,,0.04,0,13,43,31,43,,,,,,
USC00248809,"WEST GLACIER, MT US",3/3/88,,,0.28,0,13,39,32,34,,,,,,
USC00248809,"WEST GLACIER, MT US",3/4/88,,,0,0,12,43,31,42,,,,,,
USC00248809,"WEST GLACIER, MT US",3/5/88,,,0,0,12,44,32,41,,,,,,
USC00248809,"WEST GLACIER, MT US",3/6/88,,,0.3,0,12,42,32,38,,,,,,
USC00248809,"WEST GLACIER, MT US",3/7/88,,,0,0,12,43,25,40,,,,,,
USC00248809,"WEST GLACIER, MT US",3/8/88,,,0,0,12,40,32,38,,,,,,
USC00248809,"WEST GLACIER, MT US",3/9/88,,,0.07,0,11,45,34,36,,,,,,
USC00248809,"WEST GLACIER, MT US",3/10/88,,,0,0,10,40,27,36,,,,,,
USC00248809,"WEST GLACIER, MT US",3/11/88,,,0.04,0,10,39,24,36,,,,,,
USC00248809,"WEST GLACIER, MT US",3/12/88,,,0,0,10,39,17,38,,,,,,
USC00248809,"WEST GLACIER, MT US",3/13/88,,,0,0,10,42,27,41,,,,,,
USC00248809,"WEST GLACIER, MT US",3/14/88,,,0.19,2,11,43,30,36,,,,,,
USC00248809,"WEST GLACIER, MT US",3/15/88,,,0,0,10,39,30,34,,,,,,
USC00248809,"WEST GLACIER, MT US",3/16/88,,,0,0,10,40,15,38,,,,,,
USC00248809,"WEST GLACIER, MT US",3/17/88,,,0,0,10,50,15,44,,,,,,
USC00248809,"WEST GLACIER, MT US",3/18/88,,,0,0,9,55,20,50,,,,,,
USC00248809,"WEST GLACIER, MT US",3/19/88,,,0,0,9,62,24,58,,,,,,
USC00248809,"WEST GLACIER, MT US",3/20/88,,,0,0,7,58,36,49,,,,,,
USC00248809,"WEST GLACIER, MT US",3/21/88,,,0.02,0,7,49,37,39,,,,,,
USC00248809,"WEST GLACIER, MT US",3/22/88,,,0.12,0,7,44,36,42,,,,,,
USC00248809,"WEST GLACIER, MT US",3/23/88,,,0.05,0,7,45,34,42,,,,,,
USC00248809,"WEST GLACIER, MT US",3/24/88,,,0.3,2,8,42,30,32,,,,,,
USC00248809,"WEST GLACIER, MT US",3/25/88,,,0.08,2,10,40,28,39,,,,,,
USC00248809,"WEST GLACIER, MT US",3/26/88,,,0.25,0,8,43,32,41,,,,,,
