Review Site,Ski Area,Review Date,class,rating,Average Snow Depth,Average High Temp,Average Low Temp,Average Temp
On the Snow,Discovery,11/22/06,positive,5.00,45.50,34.23,16.02,24.17
On the Snow,Discovery,1/1/07,positive,5.00,45.50,34.23,16.02,24.17
On the Snow,Discovery,12/8/07,positive,5.00,60.35,30.11,12.60,20.57
On the Snow,Discovery,1/3/08,negative,3.00,60.35,30.11,12.60,20.57
On the Snow,Discovery,1/24/08,positive,4.00,60.35,30.11,12.60,20.57
On the Snow,Discovery,1/29/08,positive,5.00,60.35,30.11,12.60,20.57
On the Snow,Discovery,12/2/08,positive,4.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,12/2/08,positive,4.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,12/17/08,positive,4.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,12/27/08,positive,5.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,3/26/09,positive,5.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,3/27/09,positive,4.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,4/3/09,positive,4.00,49.46,32.00,13.60,21.76
On the Snow,Discovery,12/29/09,positive,5.00,33.92,34.02,15.29,23.38
Yelp,Discovery,1/21/14,negative,2.00,59.65,31.38,14.25,21.86
On the Snow,Discovery,2/21/14,positive,5.00,59.65,31.38,14.25,21.86
On the Snow,Discovery,2/21/14,positive,5.00,59.65,31.38,14.25,21.86
On the Snow,Discovery,12/20/14,positive,5.00,46.36,38.24,19.83,27.74
On the Snow,Discovery,2/1/16,positive,4.00,43.66,34.87,18.40,25.89
Yelp,Discovery,2/14/16,negative,1.00,43.66,34.87,18.40,25.89
Yelp,Discovery,12/30/16,positive,5.00,44.52,31.75,14.48,22.31
Yelp,Discovery,1/31/17,negative,1.00,44.52,31.75,14.48,22.31
Yelp,Discovery,3/15/17,positive,5.00,44.52,31.75,14.48,22.31
Yelp,Discovery,1/23/18,positive,5.00,58.96,33.25,16.49,23.62
On the Snow,Discovery,2/13/18,negative,3.00,58.96,33.25,16.49,23.62
Yelp,Discovery,2/16/19,negative,1.00,45.79,32.65,12.71,21.50
Yelp,Discovery,2/21/19,positive,5.00,45.79,32.65,12.71,21.50
On the Snow,Discovery,12/8/19,positive,4.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,12/8/19,positive,4.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,12/10/19,positive,5.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,12/10/19,positive,5.00,44.65,32.61,16.43,23.79
Yelp,Discovery,12/13/19,positive,5.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,1/2/20,positive,5.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,1/2/20,positive,5.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,3/18/20,positive,5.00,44.65,32.61,16.43,23.79
On the Snow,Discovery,3/18/20,positive,5.00,44.65,32.61,16.43,23.79
Yelp,Discovery,3/14/21,positive,5.00,47.24,33.22,15.45,22.99
On the Snow,Red Lodge,1/30/07,positive,5.00,26.00,36.50,19.44,27.53
