Resort,Zip,Station,Station ID,Years,visit,Average Temp
Bridger,59715,USC00241050,70,1988-1989,135296.00,26.86
Bridger,59715,USC00241050,70,1989-1990,144939.00,32.65
Bridger,59715,USC00241050,70,1990-1991,107368.00,30.59
Bridger,59715,USC00241050,70,1991-1992,142248.00,36.63
Bridger,59715,USC00241050,70,1992-1993,145259.00,27.85
Bridger,59715,USC00241050,70,1993-1994,174110.00,34.35
Bridger,59715,USC00241050,70,1994-1995,192551.00,33.11
Bridger,59715,USC00241050,70,1995-1996,151125.00,28.14
Bridger,59715,USC00241050,70,1996-1997,172539.00,28.28
Bridger,59715,USC00241050,70,1997-1998,143173.00,32.22
Bridger,59715,USC00241050,70,1998-1999,174243.00,33.25
Bridger,59715,USC00241050,70,1999-2000,172196.00,34.47
Bridger,59715,USC00241050,70,2000-2001,158275.00,27.85
Bridger,59715,USC00241050,70,2001-2002,185387.00,28.13
Bridger,59715,USC00241050,70,2002-2003,146383.00,32.39
Bridger,59715,USC00241050,70,2003-2004,168266.00,33.65
Bridger,59715,USC00241050,70,2004-2005,157762.00,33.18
Bridger,59715,USC00241050,70,2005-2006,183812.00,32.49
Bridger,59715,USC00241050,70,2006-2007,135555.00,33.93
Bridger,59715,USC00241050,70,2007-2008,196569.00,30.46
Bridger,59715,USC00241050,70,2008-2009,188621.00,29.33
Bridger,59715,USC00241050,70,2009-2010,199061.00,28.99
Bridger,59715,USC00241050,70,2010-2011,210996.00,28.85
Bridger,59715,USC00241050,70,2011-2012,148074.00,35.28
Bridger,59715,USC00241050,70,2012-2013,185645.00,32.06
Bridger,59715,USC00241050,70,2013-2014,217516.00,28.19
Bridger,59715,USC00241050,70,2014-2015,204501.00,35.45
Bridger,59715,USC00241050,70,2015-2016,244916.00,35.45
Bridger,59715,USC00241050,70,2016-2017,227777.00,27.79
Bridger,59715,USC00241050,70,2017-2018,264464.00,27.84
Bridger,59715,USC00241050,70,2018-2019,291754.00,25.29
Bridger,59715,USC00241050,70,2019-2020,255613.00,33.08
Bridger,59715,USC00241050,70,2020-2021,227948.00,31.75
Discovery,59711,USS0013C03S,86,1988-1989,39150.00,20.72
Discovery,59711,USS0013C03S,86,1989-1990,41439.00,19.55
Discovery,59711,USS0013C03S,86,1990-1991,33272.00,16.81
Discovery,59711,USS0013C03S,86,1991-1992,40301.00,23.70
Discovery,59711,USS0013C03S,86,1992-1993,44242.00,17.11
Discovery,59711,USS0013C03S,86,1993-1994,40482.00,20.14
Discovery,59711,USS0013C03S,86,1994-1995,55991.00,19.84
Discovery,59711,USS0013C03S,86,1995-1996,62066.00,17.61
Discovery,59711,USS0013C03S,86,1996-1997,57781.00,18.36
Discovery,59711,USS0013C03S,86,1997-1998,56916.00,22.51
Discovery,59711,USS0013C03S,86,1998-1999,57668.00,21.35
Discovery,59711,USS0013C03S,86,1999-2000,49486.00,23.68
Discovery,59711,USS0013C03S,86,2000-2001,53439.00,22.40
Discovery,59711,USS0013C03S,86,2001-2002,44808.00,20.26
Discovery,59711,USS0013C03S,86,2002-2003,53337.00,25.02
Discovery,59711,USS0013C03S,86,2003-2004,60647.00,24.93
Discovery,59711,USS0013C03S,86,2004-2005,22318.00,25.41
Discovery,59711,USS0013C03S,86,2005-2006,56770.00,22.37
Discovery,59711,USS0013C03S,86,2006-2007,57118.00,24.17
Discovery,59711,USS0013C03S,86,2007-2008,66905.00,20.57
Discovery,59711,USS0013C03S,86,2008-2009,62214.00,21.76
Discovery,59711,USS0013C03S,86,2009-2010,53391.00,23.38
Discovery,59711,USS0013C03S,86,2010-2011,66237.00,22.65
Discovery,59711,USS0013C03S,86,2011-2012,61056.00,24.37
Discovery,59711,USS0013C03S,86,2012-2013,62247.00,23.02
Discovery,59711,USS0013C03S,86,2013-2014,56388.00,21.86
Discovery,59711,USS0013C03S,86,2014-2015,55738.00,27.74
Discovery,59711,USS0013C03S,86,2015-2016,66942.00,25.89
Discovery,59711,USS0013C03S,86,2016-2017,54933.00,22.31
Discovery,59711,USS0013C03S,86,2017-2018,68473.00,23.62
Discovery,59711,USS0013C03S,86,2018-2019,77562.00,21.50
Discovery,59711,USS0013C03S,86,2019-2020,55905.00,23.79
Discovery,59711,USS0013C03S,86,2020-2021,66855.00,22.99
Red Lodge,59068,USS0009D16S,342,1988-1989,83752.00,8.81
Red Lodge,59068,USS0009D16S,342,1989-1990,105079.00,19.98
Red Lodge,59068,USS0009D16S,342,1990-1991,99801.00,12.47
Red Lodge,59068,USS0009D16S,342,1991-1992,101237.00,27.61
Red Lodge,59068,USS0009D16S,342,1992-1993,92249.00,19.98
Red Lodge,59068,USS0009D16S,342,1993-1994,122636.00,22.59
