Resort,Zip,Station,Station ID,Years,visit,Average Snow Depth,Average High Temp,Average Low Temp,Average Temp
Discovery,59711,USS0013C03S,86,2002-2003,53337.00,46.98,32.56,18.35,25.02
Discovery,59711,USS0013C03S,86,2003-2004,60647.00,46.53,33.12,17.39,24.93
Discovery,59711,USS0013C03S,86,2004-2005,22318.00,31.56,35.96,15.47,25.41
Discovery,59711,USS0013C03S,86,2005-2006,56770.00,54.68,32.45,14.40,22.37
Discovery,59711,USS0013C03S,86,2006-2007,57118.00,45.50,34.23,16.02,24.17
Discovery,59711,USS0013C03S,86,2007-2008,66905.00,60.35,30.11,12.60,20.57
Discovery,59711,USS0013C03S,86,2008-2009,62214.00,49.46,32.00,13.60,21.76
Discovery,59711,USS0013C03S,86,2009-2010,53391.00,33.92,34.02,15.29,23.38
Discovery,59711,USS0013C03S,86,2010-2011,66237.00,56.92,31.50,14.27,22.65
Discovery,59711,USS0013C03S,86,2011-2012,61056.00,51.93,33.93,16.36,24.37
Discovery,59711,USS0013C03S,86,2012-2013,62247.00,44.14,32.48,15.62,23.02
Discovery,59711,USS0013C03S,86,2013-2014,56388.00,59.65,31.38,14.25,21.86
Discovery,59711,USS0013C03S,86,2014-2015,55738.00,46.36,38.24,19.83,27.74
Discovery,59711,USS0013C03S,86,2015-2016,66942.00,43.66,34.87,18.40,25.89
Discovery,59711,USS0013C03S,86,2016-2017,54933.00,44.52,31.75,14.48,22.31
Discovery,59711,USS0013C03S,86,2017-2018,68473.00,58.96,33.25,16.49,23.62
Discovery,59711,USS0013C03S,86,2018-2019,77562.00,45.79,32.65,12.71,21.50
Discovery,59711,USS0013C03S,86,2019-2020,55905.00,44.65,32.61,16.43,23.79
Discovery,59711,USS0013C03S,86,2020-2021,66855.00,47.24,33.22,15.45,22.99
Red Lodge,59068,USS0009D16S,342,2002-2003,123349.00,43.00,34.44,19.22,26.73
Red Lodge,59068,USS0009D16S,342,2003-2004,103471.00,33.00,36.93,19.73,27.98
