Resort,Zip,Station,Station ID,Years,Visits,Average Snow Depth,Average High Temp,Average Low Temp,Average Median Temp
Bridger,59715,USC00241050,70,1988-1989,"135,296",,37.47933884,16.23140496,26.8553719
Bridger,59715,USC00241050,70,1989-1990,"144,939",,43.43333333,21.89915966,32.64583333
Bridger,59715,USC00241050,70,1990-1991,"107,368",,42.22033898,19.28571429,30.58823529
Bridger,59715,USC00241050,70,1991-1992,"142,248",,49.06557377,24.19672131,36.63114754
Bridger,59715,USC00241050,70,1992-1993,"145,259",,38.59333333,17.10666667,27.85
Bridger,59715,USC00241050,70,1993-1994,"174,110",,46.9009009,22.3125,34.35267857
Bridger,59715,USC00241050,70,1994-1995,"192,551",,44.47169811,21.74528302,33.10849057
Bridger,59715,USC00241050,70,1995-1996,"151,125",,39.57407407,16.71296296,28.14351852
Bridger,59715,USC00241050,70,1996-1997,"172,539",,39.31730769,17.24038462,28.27884615
Bridger,59715,USC00241050,70,1997-1998,"143,173",,43.21551724,21.21551724,32.21551724
Bridger,59715,USC00241050,70,1998-1999,"174,243",,44.36134454,22.13445378,33.24789916
Bridger,59715,USC00241050,70,1999-2000,"172,196",,44.23214286,24.84070796,34.47345133
Bridger,59715,USC00241050,70,2000-2001,"158,275",,39.175,16.53333333,27.85416667
Bridger,59715,USC00241050,70,2001-2002,"185,387",,37.46610169,18.78813559,28.12711864
Bridger,59715,USC00241050,70,2002-2003,"146,383",,42.36633663,22.11,32.39108911
Bridger,59715,USC00241050,70,2003-2004,"168,266",,43.95798319,23.33613445,33.64705882
Bridger,59715,USC00241050,70,2004-2005,"157,762",,43.56198347,22.79338843,33.17768595
Bridger,59715,USC00241050,70,2005-2006,"183,812",,41.61983471,23.3553719,32.48760331
Bridger,59715,USC00241050,70,2006-2007,"135,555",,43.46280992,24.39669421,33.92975207
Bridger,59715,USC00241050,70,2007-2008,"196,569",,40.1147541,20.80327869,30.45901639
Bridger,59715,USC00241050,70,2008-2009,"188,621",,39.3553719,19.29752066,29.32644628
Bridger,59715,USC00241050,70,2009-2010,"199,061",,39.2231405,18.76033058,28.99173554
Bridger,59715,USC00241050,70,2010-2011,"210,996",,37.66942149,20.03305785,28.85123967
Bridger,59715,USC00241050,70,2011-2012,"148,074",,45.23333333,25.33333333,35.28333333
Bridger,59715,USC00241050,70,2012-2013,"185,645",,41.74380165,22.37190083,32.05785124
