Review Site,Ski Area,Review Date,class,Review Star Rating (out of 5),Average Snow Depth,Average High Temp,Average Low Temp,Average Temp
On the Snow,Bridger,12/22/07,positive,5,,40.1147541,20.80327869,30.45901639
On the Snow,Bridger,2/8/08,negative,3,,40.1147541,20.80327869,30.45901639
On the Snow,Bridger,3/21/08,positive,4,,40.1147541,20.80327869,30.45901639
On the Snow,Bridger,12/11/08,positive,5,,39.3553719,19.29752066,29.32644628
Yelp,Bridger,12/14/08,positive,4,,39.3553719,19.29752066,29.32644628
On the Snow,Bridger,12/22/08,negative,3,,39.3553719,19.29752066,29.32644628
On the Snow,Bridger,1/14/09,positive,5,,39.3553719,19.29752066,29.32644628
On the Snow,Bridger,2/3/09,positive,5,,39.3553719,19.29752066,29.32644628
On the Snow,Bridger,2/15/09,positive,5,,39.3553719,19.29752066,29.32644628
Yelp,Bridger,3/30/09,positive,5,,39.3553719,19.29752066,29.32644628
On the Snow,Bridger,1/22/10,positive,5,,39.2231405,18.76033058,28.99173554
On the Snow,Bridger,2/3/10,positive,5,,39.2231405,18.76033058,28.99173554
On the Snow,Bridger,3/24/10,positive,4,,39.2231405,18.76033058,28.99173554
On the Snow,Bridger,3/30/10,positive,4,,39.2231405,18.76033058,28.99173554
Yelp,Bridger,11/5/10,positive,5,,37.66942149,20.03305785,28.85123967
Yelp,Bridger,11/10/10,positive,5,,37.66942149,20.03305785,28.85123967
Yelp,Bridger,3/3/11,positive,4,,37.66942149,20.03305785,28.85123967
Yelp,Bridger,2/19/12,positive,5,,45.23333333,25.33333333,35.28333333
On the Snow,Bridger,12/18/13,positive,5,,37.18181818,19.19834711,28.19008264
On the Snow,Bridger,12/28/13,positive,5,,37.18181818,19.19834711,28.19008264
On the Snow,Bridger,1/9/14,positive,5,,37.18181818,19.19834711,28.19008264
On the Snow,Bridger,1/9/14,positive,4,,37.18181818,19.19834711,28.19008264
On the Snow,Bridger,1/10/14,positive,5,,37.18181818,19.19834711,28.19008264
On the Snow,Bridger,12/10/14,positive,5,,46.16528926,24.72727273,35.44628099
Yelp,Bridger,1/2/15,positive,5,,46.16528926,24.72727273,35.44628099
Yelp,Bridger,2/25/15,positive,5,,46.16528926,24.72727273,35.44628099
Yelp,Bridger,3/28/15,positive,5,,46.16528926,24.72727273,35.44628099
Yelp,Bridger,2/18/16,positive,5,,46.16528926,24.72727273,35.44628099
Yelp,Bridger,3/25/16,positive,5,,46.16528926,24.72727273,35.44628099
On the Snow,Bridger,11/20/16,positive,4,,37.17647059,18.41176471,27.79411765
On the Snow,Bridger,12/3/16,negative,1,,37.17647059,18.41176471,27.79411765
Yelp,Bridger,1/16/17,positive,5,,37.17647059,18.41176471,27.79411765
On the Snow,Bridger,2/16/17,positive,5,,37.17647059,18.41176471,27.79411765
On the Snow,Bridger,2/17/17,positive,5,,37.17647059,18.41176471,27.79411765
On the Snow,Bridger,2/17/17,positive,5,,37.17647059,18.41176471,27.79411765
Yelp,Bridger,3/5/17,positive,5,,37.17647059,18.41176471,27.79411765
On the Snow,Bridger,3/20/17,positive,5,,37.17647059,18.41176471,27.79411765
Yelp,Bridger,4/1/17,positive,5,,37.17647059,18.41176471,27.79411765
Yelp,Bridger,11/16/17,positive,5,,37.91735537,17.76859504,27.84297521
On the Snow,Bridger,2/1/18,positive,4,,37.91735537,17.76859504,27.84297521
On the Snow,Bridger,2/12/18,positive,5,,37.91735537,17.76859504,27.84297521
On the Snow,Bridger,3/8/18,positive,5,,37.91735537,17.76859504,27.84297521
Yelp,Bridger,3/11/18,positive,5,,37.91735537,17.76859504,27.84297521
Yelp,Bridger,3/17/18,positive,4,,37.91735537,17.76859504,27.84297521
Yelp,Bridger,4/7/18,negative,1,,37.91735537,17.76859504,27.84297521
On the Snow,Bridger,12/4/18,positive,5,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,12/26/18,negative,1,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,12/29/18,negative,3,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,12/29/18,negative,3,,35.45454545,15.1322314,25.29338843
Yelp,Bridger,1/24/19,positive,5,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,1/27/19,positive,5,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,1/27/19,positive,5,,35.45454545,15.1322314,25.29338843
Yelp,Bridger,3/8/19,positive,5,,35.45454545,15.1322314,25.29338843
On the Snow,Bridger,1/9/20,positive,5,,42.45454545,23.7107438,33.08264463
On the Snow,Bridger,1/9/20,positive,5,,42.45454545,23.7107438,33.08264463
On the Snow,Bridger,2/22/20,positive,5,,42.45454545,23.7107438,33.08264463
On the Snow,Bridger,2/22/20,positive,5,,42.45454545,23.7107438,33.08264463
On the Snow,Bridger,3/10/20,positive,5,,42.45454545,23.7107438,33.08264463
On the Snow,Bridger,3/10/20,positive,5,,42.45454545,23.7107438,33.08264463
Yelp,Bridger,4/11/20,positive,5,,42.45454545,23.7107438,33.08264463
Yelp,Bridger,12/15/20,negative,1,,41.05785124,22.43801653,31.74793388
Yelp,Bridger,2/28/21,negative,3,,41.05785124,22.43801653,31.74793388
Yelp,Bridger,4/13/21,negative,2,,41.05785124,22.43801653,31.74793388
Yelp,Bridger,12/18/21,positive,5,,41.05785124,22.43801653,31.74793388
On the Snow,Discovery,11/22/06,positive,5,45.50413223,34.23140496,16.02479339,24.17355372
On the Snow,Discovery,1/1/07,positive,5,45.50413223,34.23140496,16.02479339,24.17355372
On the Snow,Discovery,12/8/07,positive,5,60.35245902,30.10655738,12.59836066,20.56557377
On the Snow,Discovery,1/3/08,negative,3,60.35245902,30.10655738,12.59836066,20.56557377
On the Snow,Discovery,1/24/08,positive,4,60.35245902,30.10655738,12.59836066,20.56557377
On the Snow,Discovery,1/29/08,positive,5,60.35245902,30.10655738,12.59836066,20.56557377
On the Snow,Discovery,12/2/08,positive,4,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,12/2/08,positive,4,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,12/17/08,positive,4,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,12/27/08,positive,5,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,3/26/09,positive,5,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,3/27/09,positive,4,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,4/3/09,positive,4,49.46280992,32,13.60330579,21.76033058
On the Snow,Discovery,12/29/09,positive,5,33.91735537,34.01652893,15.2892562,23.38016529
Yelp,Discovery,1/21/14,negative,2,59.65289256,31.38016529,14.24793388,21.85950413
On the Snow,Discovery,2/21/14,positive,5,59.65289256,31.38016529,14.24793388,21.85950413
On the Snow,Discovery,2/21/14,positive,5,59.65289256,31.38016529,14.24793388,21.85950413
On the Snow,Discovery,12/20/14,positive,5,46.36363636,38.23966942,19.82644628,27.74380165
On the Snow,Discovery,2/1/16,positive,4,43.66393443,34.86885246,18.40163934,25.8852459
Yelp,Discovery,2/14/16,negative,1,43.66393443,34.86885246,18.40163934,25.8852459
Yelp,Discovery,12/30/16,positive,5,44.52066116,31.75206612,14.47933884,22.31404959
Yelp,Discovery,1/31/17,negative,1,44.52066116,31.75206612,14.47933884,22.31404959
