class,word,count
negative,ski,404
negative,great,189
negative,mountain,184
negative,snow,139
negative,lift,186
negative,good,117
negative,day,161
negative,time,114
negative,runs,115
negative,resort,106
negative,place,83
negative,nice,73
negative,area,72
negative,terrain,65
negative,big,63
negative,staff,63
negative,people,60
negative,fun,51
negative,friendly,50
negative,little,48
negative,food,48
negative,family,47
negative,year,87
negative,lines,73
negative,powder,41
negative,chair,38
negative,best,38
negative,season,37
negative,experience,37
negative,tickets,36
negative,town,35
negative,went,35
negative,love,54
negative,hill,34
negative,better,34
negative,long,34
negative,kids,33
negative,open,33
negative,amp,31
negative,way,30
negative,prices,50
negative,slopes,29
negative,drive,28
negative,sky,28
negative,base,26
negative,find,26
negative,want,26
negative,trip,26
negative,local,25
negative,views,25
negative,said,25
negative,week,24
negative,park,24
negative,ride,23
negative,pretty,23
negative,need,23
negative,money,23
negative,know,23
negative,small,22
negative,half,22
negative,told,22
negative,parking,21
negative,took,21
negative,helpful,21
negative,group,21
negative,old,21
negative,pass,21
negative,zip,20
negative,easy,20
negative,rental,20
negative,new,20
negative,conditions,20
negative,reasonable,20
